Symbol,Year,Quarter,Quarters,FillingDate,Date,NetIncome,Revenue,OperatingIncome,EPSDiluted,GrossProfit,GrossProfitRatio,TotalAssets,CommonStockEquity,CurrentAssets,CurrentLiability,TotalLiability,Inventory,RetainedEarnings,MarketCap,EnterpriseValue,bookValuePerShare,currentRatio,debtToAssets,debtToEquity,roic,shareholdersEquityPerShare,roe,priceToSalesRatio,peRatio,pbRatio,payoutRatio,inventoryTurnover,dividendYield,assetTurnover,quickRatio,returnOnAssets,priceToFreeCashFlowsRatio,grossProfitMargin,epsdilutedGrowth,fiveYNetIncomeGrowthPerShare,fiveYRevenueGrowthPerShare,fiveYShareholdersEquityGrowthPerShare,grossProfitGrowth,netIncomeGrowth,operatingIncomeGrowth,threeYNetIncomeGrowthPerShare,threeYRevenueGrowthPerShare,threeYShareholdersEquityGrowthPerShare,Industry,Sector
A,2014.0,Q4,2014Q4,2014-12-22,2014-10-31,23000000.0,1805000000.0,111000000.0,0.05,897000000.0,0.4969529086,10831000000.0,5298000000.0,5500000000.0,1702000000.0,5530000000.0,1072000000.0,6466000000.0,13206360000.0,12940360000.0,15.862275449101796,3.2314923619271445,0.2550087711199335,0.5213288033220083,0.0037264632900306,15.862275449101796,0.0043412608531521,7.316542936288089,143.54739130434783,2.4927066817667045,1.9130434782608696,0.8470149253731343,0.0033317280461838,0.1666512787369587,2.356639247943596,0.0021235342996953,109.14347107438016,0.4969529085872576,-0.8837209302325582,-0.0414371257485029,0.6115327186244478,1.202742161327783,-0.0185995623632385,-0.8435374149659864,-0.5152838427947598,-0.9170793361374135,0.0883441450432468,0.2813537270862176,Diagnostics & Research,Healthcare
AACG,2014.0,Q4,2014Q4,2014-12-31,2014-12-31,24617790.0,123047889.0,30369554.0,1.06,64079697.0,0.5207703888,477636709.0,391175627.0,336861132.0,84731356.0,86461082.0,0.0,36682098.0,144345046.04440546,-132831936.95559454,16.861018405172413,3.975637212745657,0.0,0.0,0.0618161556590823,16.861018405172413,0.0629328319578561,1.1730802309367978,1.4658611317710226,0.3690031691171941,,0.0,,0.2576181576529537,3.9195585870241474,0.0515408249327,0.0,0.5207703888361709,1.717948717948718,2.6893983161557293,0.5545108121792877,-0.0157323919820652,0.3781323302340694,1.787685026273629,2.2627501057696624,-0.3754607388329758,-0.1726931151792872,0.0490479927185417,Education & Training Services,Consumer Defensive
AADI,2014.0,Q4,2014Q4,2015-02-27,2014-12-31,-9555.0,0.0,-8614.0,-0.0052945991431559,0.0,0.0,5263.0,-155041.0,5263.0,160304.0,160304.0,0.0,0.0,162420210.0,162664947.0,-0.0859110451833549,0.0328313703962471,47.50142504275128,-1.6124766997116893,-0.0907128339599195,-0.0859110451833549,0.0616288594629807,0.0,-4249.613029827316,-1047.595216749118,0.0,0.0,0.0,0.0,0.0328313703962471,-1.815504465133954,-8158.539783001808,0.0,-0.4864654635967642,-1.3057432432432436,0.0,-1.2741287256512557,0.0,-0.4864654635967642,-0.8077649527806926,-1.3057432432432436,0.0,-1.2741287256512557,Biotechnology,Healthcare
AAIC,2014.0,Q4,2014Q4,2015-02-09,2014-12-31,-32765000.0,-831000.0,0.0,-1.43,0.0,0.0,4014489000.0,642032000.0,0.0,0.0,3372457000.0,0.0,-1298018000.0,611311552.973,457052552.9730001,27.94724241500892,0.0,0.0099639082334015,0.0623021905450195,0.0,27.94724241500892,-0.0510332818301891,-735.6336377533094,-4.664364054425454,0.9521512213923916,-0.6163589195788188,0.0,0.0330355281227475,-0.0002070001935489,0.0,-0.008161686331685,27.250548431908356,0.0,-3.344262295081968,-3.346119983455324,-1.063072158969421,0.4406486477522882,0.0,-3.5504008717988635,0.0,-2.616336261675936,-1.0254335640664436,0.1986838862751411,REIT—Mortgage,Real Estate
AAL,2014.0,Q4,2014Q4,2015-02-25,2014-12-31,597000000.0,10160000000.0,860000000.0,0.82,2651000000.0,0.2609251969,43771000000.0,2021000000.0,12112000000.0,13435000000.0,41750000000.0,1004000000.0,-8562000000.0,37872701550.0,54782701550.0,2.8618563124393748,0.9015258652772608,0.4090379474994859,8.858980702622464,0.0452706052146108,2.8618563124393748,0.2953983176645225,3.727628105314961,15.859590263819095,18.73958513112321,0.1206030150753768,7.479083665338646,0.0019011054678775,0.2321171551940782,0.6754000744324525,0.0136391674853213,-75.59421467065869,0.2609251968503937,-0.359375,1.3056555174207432,-0.6465012208394157,1.1020191486924058,-0.0874354561101549,-0.3662420382165605,-0.3174603174603174,1.0966000022695748,-0.6977572141968308,1.0503561547536486,Airlines,Industrials
AAMC,2014.0,Q4,2014Q4,2015-03-02,2014-12-31,21923000.0,122211000.0,61038000.0,7.95,103618000.0,0.8478614854636654,2760698000.0,-177117000.0,164512000.0,22895000.0,1610904000.0,0.0,54174000.0,683411133.88,890711133.88,-80.37259171964955,7.185499017252675,0.1173913263964403,-1.8297622475538768,0.4109933774787316,-80.37259171964955,-0.123776938407945,5.592059093534952,7.793312204990193,-3.85852929916383,0.0,0.0,0.0,0.0442681524744829,6.348154618912426,0.0079411076474138,-16.64339617846184,0.8478614854636654,0.272,0.0,0.0,0.0,0.1791387864718467,0.2387275398350096,0.1170732600062224,0.0,0.0,0.0,Asset Management,Financial Services
AAME,2014.0,Q4,2014Q4,2015-03-27,2014-12-31,1282000.0,40919000.0,1338000.0,0.06,40919000.0,1.0,76723000.0,104195000.0,16375000.0,179100000.0,212813000.0,0.0,21866000.0,86107668.01,103470668.01,4.876520984765663,0.09142936906756,0.4397377579083195,0.323796727290177,0.0092943675552623,4.876520984765663,0.0123038533518882,2.1043443879371444,16.791666928627148,0.8264088296943233,0.6887675507020281,0.0,0.0102546035725581,0.5333342022600784,0.2314405360134003,0.0167094613088643,14.654130022123894,1.0,0.0,1.1127961755698668,0.6511531308766648,0.4030934910342924,-0.0407211177794448,-0.1164713990351481,0.0,0.3799351136072862,0.3400057474878938,0.0775481935447169,Insurance—Life,Financial Services
AAN,2014.0,Q4,2014Q4,2015-03-02,2014-12-31,22094000.0,759742000.0,40274000.0,0.3,655581000.0,0.8628995106,2456844000.0,1223521000.0,1387975000.0,309462000.0,1233323000.0,1087032000.0,1274233000.0,2215774740.0,2818307740.0,16.880342705775227,4.485122567552721,0.2418716857887599,0.4856810794420365,0.0142993776121317,16.880342705775227,0.0180577203006732,2.916483148226635,25.07213202679461,1.8109821899256329,0.0754956096677831,0.09582146615739,0.0007527841029544,0.3092349371795685,0.7594696602490775,0.0089928379661061,-45.77384964984403,0.8628995106233431,1.3076923076923077,-0.0089833261832779,0.9118741021298342,0.5486362688585056,0.0393641240931459,1.3769768692845616,1.0801611487009968,-0.2415825391536441,0.5211647398487109,0.3132059422217816,Rental & Leasing Services,Industrials
AAOI,2014.0,Q4,2014Q4,2015-03-05,2014-12-31,702000.0,36391000.0,1316000.0,0.05,12259000.0,0.3368690060729301,183670000.0,115012000.0,113239000.0,48601000.0,68658000.0,33780000.0,-79040000.0,166269180.0,164013180.0,7.761117484310682,2.329972634307936,0.1628954102466379,0.2601380725489514,0.0089275748662548,7.761117484310682,0.0061037109171216,4.568964304360969,59.21267094017095,1.445668104197823,0.0,0.7143872113676731,0.0,0.1981325202809386,1.5006481348120408,0.003822072194697,-16.8254584092289,0.3368690060729301,-0.5,7.1532365881638444,0.1652054991217711,1.2400910791907942,0.0093034743948625,-0.5548509828788839,-0.297008547008547,7.1532365881638444,0.1652054991217711,1.2400910791907942,Semiconductors,Technology
AAON,2014.0,Q4,2014Q4,2015-02-27,2014-12-31,10533000.0,84728000.0,16953000.0,0.19,25191000.0,0.2973161174582192,233117000.0,174059000.0,131083000.0,42713000.0,59058000.0,37618000.0,173843000.0,1227180652.41,1205228652.41,3.1757190779910984,3.068925151593192,0.0,0.0,0.0602474292847191,3.1757190779910984,0.0605139636560017,14.483767496105184,29.12704482127599,7.050371726885712,0.4635906199563277,1.5826731883672709,0.0039790392640321,0.3634569765396775,2.0301313417460727,0.045183319963795,116.045451764539,0.2973161174582192,-0.1363636363636363,0.8111043555338483,0.6535708805539017,0.5611247366743481,-0.244647676161919,-0.1532958199356913,-0.1315061475409836,11.25697022726348,0.3544818791380081,0.4401091725992661,Building Products & Equipment,Industrials
