Symbol,Year,Date,FillingDate,NetIncome,Revenue,OperatingIncome,EPSDiluted,GrossProfit,GrossProfitRatio,TotalAssets,CommonStockEquity,CurrentAssets,CurrentLiability,TotalLiability,Inventory,RetainedEarnings,EnterpriseValue,bookValuePerShare,currentRatio,debtToAssets,debtToEquity,roic,shareholdersEquityPerShare,roe,priceToSalesRatio,peRatio,pbRatio,payoutRatio,inventoryTurnover,dividendYield,assetTurnover,quickRatio,returnOnAssets,priceToFreeCashFlowsRatio,grossProfitMargin,epsdilutedGrowth,fiveYNetIncomeGrowthPerShare,fiveYRevenueGrowthPerShare,fiveYShareholdersEquityGrowthPerShare,grossProfitGrowth,netIncomeGrowth,operatingIncomeGrowth,threeYNetIncomeGrowthPerShare,threeYRevenueGrowthPerShare,threeYShareholdersEquityGrowthPerShare,Industry,Sector,Price,MarketCap,AvgVolume
A,2014,2014-10-31,2014-12-22,504000000.0,6981000000.0,831000000.0,1.47,3593000000.0,0.5146827102,10831000000.0,5298000000.0,5500000000.0,1702000000.0,5530000000.0,1072000000.0,6466000000.0,12900820000.0,15.90990990990991,3.2314923619271445,0.2550087711199335,0.5213288033220083,0.0804385068641535,15.90990990990991,0.0951302378255945,1.8860936828534596,26.124642857142856,2.48524348810872,0.3492063492063492,3.16044776119403,0.0133669329420467,0.6445388237466532,2.356639247943596,0.0465330994368017,26.021383399209487,0.5146827102134365,-0.3,17.892763731473412,0.6187305359365167,1.196659548614856,0.0164073550212164,-0.3038674033149171,-0.1261829652996845,-0.481038350603568,0.0996969758874519,0.2815085280266338,Diagnostics & Research,Healthcare,118.36,34960703360,2023500
AA,2014,2014-12-31,2014-12-31,-256000000.0,13147000000.0,1052000000.0,-1.403509,2599000000.0,0.1976876854035141,18680000000.0,10599000000.0,2917000000.0,2735000000.0,5607000000.0,1501000000.0,0.0,6996870870.4,58.10855263157895,1.06654478976234,0.0183083511777301,0.0322671950183979,0.5295995984232891,58.10855263157895,-0.0241532220020756,0.5264220636190766,-27.0346518375,0.6529739475799604,0.0,7.0273151232511655,0.0,0.7038008565310493,0.3575868372943327,-0.0137044967880085,17.38912278994975,0.1976876854035141,0.9123349631159609,0.9123349797663632,0.0416404600641029,0.0,0.695368558382257,0.9119972499140598,69.13333333333334,0.9123349797663632,0.0416404600641029,0.0,Aluminum,Basic Materials,34.14,6090609867,4536116
AACG,2014,2014-03-31,2014-03-31,27276435.0,384668378.0,41378620.0,1.21,196188032.0,0.5100186114,491236724.0,411891872.0,398092847.0,77149470.0,79344852.0,0.0,-1372103.0,-194279160.83594552,18.22530407079646,5.160020503057247,0.0,0.0,0.0580894208968902,18.22530407079646,0.0662223191430201,0.3058944896272562,4.313904554024544,0.2856767641291413,0.0,0.0,0.0,0.7830611173931695,4.934963454706818,0.0555260502062952,3.544899289867568,0.5100186114076681,0.2099999999999999,0.200455539551961,0.7751073662833441,0.0874577085330394,0.1031491025300868,0.1753036346534103,0.5317796763890906,0.3715021343361918,0.2572296685094338,0.1237532469069938,Education & Training Services,Consumer Defensive,1.41,44536119,12793
AADI,2014,2014-12-31,2015-02-27,-28701.0,0.0,-22824.0,-0.0159037456836964,0.0,0.0,5263.0,-155041.0,5263.0,160304.0,160304.0,0.0,0.0,162664947.0,-0.0859110451833549,0.0328313703962471,47.50142504275128,-1.6124766997116893,-0.2403563643256563,-0.0859110451833549,0.1851187750337007,0.0,-5659.043587331452,-1047.595216749118,0.0,0.0,0.0,0.0,0.0328313703962471,-5.453353600608018,-6963.651603498543,0.0,-0.0488214873012973,-0.2815807099799063,0.0,-1.2741287256512557,0.0,-0.0488214873012972,-0.019338126925997,-0.2815807099799063,0.0,-1.2741287256512557,Biotechnology,Healthcare,6.35,155174950,119009
AAIC,2014,2014-12-31,2015-02-09,5954000.0,73484000.0,0.0,0.29,0.0,0.0,4014489000.0,642032000.0,0.0,0.0,3372457000.0,0.0,-1298018000.0,379085250.043,32.03272963129272,0.0,0.0099639082334015,0.0623021905450195,0.0,32.03272963129272,0.0092736810626261,7.25796431934843,89.5774689356735,0.8307128773067387,11.669633859590192,0.0,0.1302742084392926,0.018304695815582,0.0,0.0014831277405418,7.624649750436025,0.0,-0.9052287581699346,-0.9804372078002178,0.9798062463739968,0.638865964417561,0.0,-0.8796223287034229,0.0,-0.8488556398707519,-0.0827374513561439,0.3485846953383274,REIT—Mortgage,Real Estate,4.57,129607028,336629
AAL,2014,2014-12-31,2015-02-25,2882000000.0,42650000000.0,4249000000.0,3.93,10711000000.0,0.251137163,43771000000.0,2021000000.0,12112000000.0,13435000000.0,41750000000.0,1004000000.0,-8562000000.0,55387165280.0,2.8168974822149373,0.9015258652772608,0.4090379474994859,8.858980702622464,0.1913404719753871,2.8168974822149373,1.426026719445819,0.9021609678780774,13.350855405968078,19.038676536368136,0.0499653018736988,31.811752988047807,0.0037424794407827,0.9743894359278976,0.6754000744324525,0.0658426812272966,-17.246600304796054,0.251137162954279,1.2307692307692308,1.300476550979674,-0.6722537156516061,1.0886559746702609,0.7602300739523419,2.571428571428572,1.1700715015321757,1.253694355675157,-0.6901506492621474,1.0495106077646792,Airlines,Industrials,18.57,12123665464,25640855
AAMC,2014,2014-12-31,2015-03-02,59679000.0,423298000.0,245221000.0,21.07,355117000.0,0.8389290759701203,2760698000.0,-177117000.0,164512000.0,22895000.0,1610904000.0,0.0,54174000.0,908781516.16,-78.3021687309458,7.185499017252675,0.1173913263964403,-1.8297622475538768,1.6546131303278264,-78.3021687309458,-0.3369467640034553,1.657181267475868,11.7542438070343,-3.960554414087863,0.0,0.0,0.0,0.1533300636288359,6.348154618912426,0.0216173590881726,-5.182378092036732,0.8389290759701203,10.323008849557525,1344.9682749807862,0.0,-37.91723535182005,4.8769880016549445,12.275080294728888,6.294770347453594,1344.9682749807862,0.0,-37.91723535182005,Asset Management,Financial Services,56.405,99183680,23170
AAME,2014,2014-12-31,2015-03-27,4430000.0,166321000.0,4904000.0,0.19,166321000.0,1.0,76723000.0,104195000.0,16375000.0,179075000.0,212813000.0,0.0,21866000.0,111325629.67,4.46886013593621,0.0914421331844199,0.4397377579083195,0.323796727290177,0.0321170423321467,4.46886013593621,0.0425164355295359,0.5649474790916361,21.21052588487585,0.9017959563318778,0.2945823927765237,0.0,0.0138885001897371,2.1678114776533763,0.2314728465726651,0.0577401822139384,288.22892536809815,1.0,-0.6041666666666666,4.511458232067961,0.5492639278075241,0.2867802123703245,0.0057568226209265,-0.5980765741244783,-0.5623772978761378,0.2787173512064199,0.3347859070945239,0.0277584587170306,Insurance—Life,Financial Services,1.9,38697680,4303
AAN,2014,2014-12-31,2015-03-02,78233000.0,2725239000.0,140919000.0,1.08,2370641000.0,0.8698837056,2456844000.0,1223521000.0,1387975000.0,309462000.0,1233323000.0,1087032000.0,1274233000.0,2815311880.0,16.90319683908046,4.485122567552721,0.2418716857887599,0.4856810794420365,0.0498330724678211,16.90319683908046,0.0639408722858046,0.8119577328814097,28.2844692137589,1.8085336336687312,0.0999961653010877,0.326207508150634,0.0035353735841874,1.1092438103518172,0.7594696602490775,0.0318428846113143,-22.923937136759665,0.8698837056126086,-0.3164556962025316,-0.2231048717570383,0.7428386053451347,0.5457606396426193,0.265873066728181,-0.3516566389869557,-0.2605510749161738,-0.2580276965700142,0.4527724284062798,0.351852100681604,Rental & Leasing Services,Industrials,13.78,425921886,321749
AAOI,2014,2014-12-31,2015-03-05,4283000.0,130449000.0,5138000.0,0.28,44246000.0,0.3391823624558256,183670000.0,115012000.0,113239000.0,48601000.0,68658000.0,33780000.0,-79040000.0,158268540.0,8.038862095477738,2.329972634307936,0.1628954102466379,0.2601380725489514,0.0338773189800014,8.038862095477738,0.0372395923903592,1.230554009612952,37.47946299322905,1.3957199248774044,0.0,2.551894612196566,0.0,0.7102357488974792,1.5006481348120408,0.0233189960254804,-4.312046095575791,0.3391823624558256,3.0,1.742229155174175,0.8871670237718394,0.0,0.9214000347403162,4.046230440967283,17.736156351791532,1.5028638954796691,0.7057531437092679,2.4797114267201725,Semiconductors,Technology,8.34,243492138,1322227
