Quarters,Year,Quarter,FillingDate,Date,MarketCap,EnterpriseValue,bookValuePerShare,debtToAssets,roic,priceToSalesRatio,peRatio,pbRatio,payoutRatio,inventoryTurnover,dividendYield,quickRatio,priceToFreeCashFlowsRatio,grossProfitMargin,epsdilutedGrowth,Industry,Sector,Symbol,ReturnOnAssets,ReturnOnEquity,CurrentRatio,OperatingMargin,NetProfitMargin,DebtToEquity,AssetsTurnover,roicIncrease,quickRatioIncrease,ReturnOnAssetsIncrease,ReturnOnEquityIncrease,CurrentRatioIncrease,OperatingMarginIncrease,NetProfitMarginIncrease,DebtToEquityIncrease,NetIncomeGrowth,RevenueGrowth,OperatingIncomeGrowth,GrossProfitGrowth
2011Q1,2011.0,Q1,2011-05-09,2011-03-31,477993360.00000006,443280360.00000006,9.908672371515788,0.02808199943836,0.0222259715273535,3.18038883787776,26.555186666666668,2.4140469180071213,0.0,0.0,0.0,1.1198720623000973,304.2605728835137,0.1436451222271015,-0.2758620689655172,Engineering & Construction,Industrials,MYRG,0.012636899747262006,0.02272669882073685,1.498169007555741,0.05072058764820951,0.02994131502255579,0.7984394333476428,0.42205560235888795,-0.005841415108665801,-0.17925926189029107,-0.003377915535206926,-0.008864975672929765,-0.11473723884278386,-0.0121210480778631,-0.009301671776124076,-0.17421363423093428,-0.2608409986859396,-0.031211324257425743,-0.21807364857934147,-0.00976974589487203
2011Q2,2011.0,Q2,2011-08-09,2011-06-30,469380600.0,443971600.0,10.11755321800688,0.0259866480602266,0.0179219479741104,2.532948033025741,31.569854721549635,2.312812148924848,0.0,0.0,0.0,0.9561659390356116,-46.23072983354673,0.1054395337542496,-0.1428571428571428,Engineering & Construction,Industrials,MYRG,0.009659237083986248,0.018315036363994716,1.3996032289851668,0.03230802439156009,0.02005828071879553,0.8961162465262038,0.48155857520406015,-0.004304023553243098,-0.16370612326448564,-0.002977662663275758,-0.004411662456742134,-0.09856577857057425,-0.018412563256649424,-0.009883034303760259,0.09767681317856103,-0.174,0.23298335262884745,-0.2146136691591237,-0.09495576450970401
2011Q3,2011.0,Q3,2011-11-08,2011-09-30,357474600.0,359927600.0,10.325882062669628,0.0493875938364282,0.0187194627973249,1.6983053746276529,21.172388059701493,1.7083286341001844,0.0,69.23602033405955,0.0,0.9331832634570472,-11.794338315351876,0.0941284342649734,0.1111111111111112,Engineering & Construction,Industrials,MYRG,0.01042325167917819,0.020171657411566804,1.2997101775514224,0.031517086403565035,0.020053304448213446,0.9352557179313179,0.5197772619517977,0.0007975148232144992,-0.022982675578564482,0.000764014595191943,0.001856621047572088,-0.09989305143374438,-0.0007909379879950523,-4.976270582084802e-06,0.03913947140511409,0.13559322033898305,0.1358750202363607,0.10806747953900117,0.014023235580121808
2011Q4,2011.0,Q4,2012-03-07,2011-12-31,385690140.0,361677140.0,10.706069177708304,0.0242384285741986,0.0262501897677257,1.646398022735131,16.454357508532425,1.7877710000092706,0.0,52.37022233325006,0.0,0.9724712523402548,14.315040641353969,0.1051168985285768,0.4000000000000001,Engineering & Construction,Industrials,MYRG,0.014203719144480424,0.027162576829302208,1.3345871253471495,0.040061810870688074,0.025014620319896867,0.9123566548313232,0.5678166993077505,0.007530726970400799,0.039287988883207614,0.0037804674653022334,0.0069909194177354035,0.03487694779572714,0.008544724467123038,0.004961315871683421,-0.022899063099994676,0.3882966121772092,0.11294651977062935,0.41468194151341575,0.24287084237621764
2012Q1,2012.0,Q1,2012-05-09,2012-03-31,362558000.0,358808000.0,10.963152709359608,0.0,0.0284856701739357,1.5092245699918412,14.59573268921095,1.6290934253567704,0.0,138.86186770428014,0.0,0.9501807367764205,-17.8266299537811,0.1086592736899945,0.0357142857142855,Engineering & Construction,Industrials,MYRG,0.014752941679554703,0.02790359107085086,1.3549580342135,0.04257621925837121,0.02585044208002398,0.8913916747546641,0.5707036511748901,0.002235480406210001,-0.022290515563834323,0.0005492225350742785,0.0007410142415486508,0.0203709088663504,0.0025144083876831383,0.000835821760127111,-0.020964980076659145,0.059726962457337884,0.02546283450651618,0.08982418753329782,0.060020304568527916
2012Q2,2012.0,Q2,2012-08-07,2012-06-30,346966280.0,332666280.0,11.455895368276131,0.0224835813647084,0.039838240505507,1.3323846242463806,9.097175668589406,1.4891895789518863,0.0,0.0,0.0,0.985130364287769,34.503408910103424,0.1154410352905034,0.5517241379310346,Engineering & Construction,Industrials,MYRG,0.02143809483124948,0.04092450319756213,1.351761290828735,0.06012441918513114,0.03661533735263623,0.9089617580153655,0.585494942318372,0.011352570331571301,0.03494962751134856,0.0066851531516947775,0.013020912126711269,-0.003196743384764833,0.017548199926759926,0.010764895272612252,0.01757008326070142,0.535426731078905,0.08401185540403283,0.5307978099335159,0.15166839060644371
2012Q3,2012.0,Q3,2012-11-07,2012-09-30,410241000.0,393642000.0,11.917295443410094,0.0,0.0371446276135989,1.6373095251398877,11.726532128973249,1.6866242928562032,0.0,0.0,0.0,0.9795154398170548,442.07004310344826,0.1180245691616312,-0.0888888888888889,Engineering & Construction,Industrials,MYRG,0.01900275720316611,0.035957439810551245,1.3755825264969976,0.05681718404521109,0.034906089607994954,0.8922222404946718,0.5443966200904293,-0.002693612891908101,-0.005614924470714211,-0.0024353376280833693,-0.004967063387010882,0.023821235668262553,-0.0033072351399200464,-0.0017092477446412763,-0.016739517520693692,-0.08274777136864185,-0.037832648515802,-0.0907581273551766,-0.016299647395382876
2012Q4,2012.0,Q4,2013-03-06,2012-12-31,453699750.0,433874750.0,12.490314354372028,0.0,0.0387933667729317,1.8311844383543951,11.608324378262203,1.7813803054693942,0.0,0.0,0.0,1.383121661469721,215.6367633079848,0.1328527665551353,0.1219512195121952,Engineering & Construction,Industrials,MYRG,0.02095216447802928,0.0383642859947387,1.473850275023426,0.06312887719312407,0.03943688121309477,0.8310416584867879,0.5312835050220007,0.0016487391593328002,0.40360622165266624,0.0019494072748631706,0.002406846184187454,0.09826774852642828,0.006311693147912981,0.004530791605099817,-0.0611805820078839,0.11719643265492796,-0.011155101812753932,0.09869345321719585,0.11307994048424184
2013Q1,2013.0,Q1,2013-05-08,2013-03-31,485740110.00000006,464459110.00000006,12.760418179178162,0.0,0.026811273379081,2.4125125905176272,17.447561422413795,1.8424161081462436,0.0,0.0,0.0,1.4661394061775483,13492.780833333334,0.1356050898471258,-0.2826086956521739,Engineering & Construction,Industrials,MYRG,0.015574232700518246,0.026399335465003813,1.577319073617032,0.05657041253191088,0.03456804839526775,0.6950649173313913,0.4505383851131817,-0.011982093393850701,0.0830177447078273,-0.0053779317775110354,-0.011964950529734886,0.10346879859360603,-0.006558464661213195,-0.004868832817827018,-0.1359767411553966,-0.2876880564937059,-0.18736050176983648,-0.2717856914519532,-0.17052497265767408
2013Q2,2013.0,Q2,2013-08-07,2013-06-30,396162100.0,358533100.0,13.181428915082993,0.0,0.0349937380056218,1.851951700667552,10.467187169731556,1.4459737349256867,0.0,0.0,0.0,1.46463804362929,24.735395854145853,0.1460994035041792,0.3333333333333332,Engineering & Construction,Industrials,MYRG,0.019846130612792806,0.03453587175519023,1.559182992913714,0.07181323510162868,0.04423231548832252,0.7401816217478904,0.44867944157325995,0.008182464626540799,-0.0015013625482582782,0.00427189791227456,0.00813653629018642,-0.01813608070331796,0.015242822569717804,0.00966426709305477,0.045116704416499065,0.3594827586206897,0.0624509540980024,0.34872695346795435,0.1446727465846244
