Quarters,Year,Quarter,FillingDate,Date,TotalAssets,CommonStockEquity,CurrentAssets,CurrentLiability,TotalLiability,Inventory,RetainedEarnings
2022Q4,2022,Q4,2022-10-31,2022-10-31,574649582.0,391101299.0,4045487.0,3163035.0,183548283.0,0.0,-175253086.0
2022Q2,2022,Q2,2022-04-30,2022-04-30,754486487.0,467451417.0,9556241.0,8803662.0,287035070.0,0.0,-123289507.0
2021Q4,2021,Q4,2021-10-31,2021-10-31,897075454.0,609037895.0,17371941.0,6817860.0,288037559.0,0.0,27761817.0
2021Q2,2021,Q2,2021-04-30,2021-04-30,881231455.0,595776457.0,26932818.0,2157166.0,285454998.0,0.0,-7595478.0
2020Q4,2020,Q4,2020-10-31,2020-10-31,720983152.0,476532963.0,5267097.0,4400985.0,244450189.0,0.0,-993890.0
2020Q2,2020,Q2,2020-04-30,2020-04-30,600106734.0,401144746.0,0.0,0.0,198961988.0,0.0,-7406369.0
2019Q4,2019,Q4,2019-10-31,2019-10-31,759226219.0,468185689.0,0.0,0.0,291040530.0,0.0,-434634.0
2019Q2,2019,Q2,2019-04-30,2019-04-30,764489654.0,490499600.0,0.0,0.0,273990054.0,0.0,-18726725.0
2018Q4,2018,Q4,2018-10-31,2018-10-31,775113324.0,471953002.0,0.0,0.0,303160322.0,0.0,119799.0
2018Q2,2018,Q2,2018-04-30,2018-04-30,825765978.0,528318234.0,0.0,0.0,297447744.0,0.0,-21036553.0
