Quarters,Year,Quarter,FillingDate,Date,TotalAssets,CommonStockEquity,CurrentAssets,CurrentLiability,TotalLiability,Inventory,RetainedEarnings
2022Q4,2022,Q4,2022-12-31,2022-12-31,348113222.0,345074015.0,2719431.0,684375.0,3039207.0,0.0,-87745784.0
2022Q2,2022,Q2,2022-06-30,2022-06-30,340488633.0,339122984.0,2015597.0,684375.0,1365649.0,0.0,-59610489.0
2021Q4,2021,Q4,2021-12-31,2021-12-31,395051215.0,392919992.0,1774038.0,990289.0,2131223.0,0.0,-19033251.0
2021Q2,2021,Q2,2021-06-30,2021-06-30,318166097.0,284826404.0,0.0,0.0,33339693.0,0.0,-6664175.0
2020Q4,2020,Q4,2020-12-31,2020-12-31,301931620.0,211360471.0,0.0,0.0,90571149.0,0.0,-21676040.0
2020Q2,2020,Q2,2020-06-30,2020-06-30,265569402.0,199509562.0,0.0,0.0,66059840.0,0.0,-27084323.0
2019Q4,2019,Q4,2019-12-31,2019-12-31,311902858.0,231278031.0,0.0,0.0,80624827.0,0.0,-9761902.0
2019Q2,2019,Q2,2019-06-30,2019-06-30,274300979.0,199213009.0,0.0,0.0,75087970.0,0.0,-3490451.0
2018Q4,2018,Q4,2018-12-31,2018-12-31,269437991.0,194686035.0,0.0,0.0,74751956.0,0.0,-17326943.0
2018Q2,2018,Q2,2018-06-30,2018-06-30,282570392.0,206560773.0,0.0,0.0,76009619.0,0.0,0.0
2017Q4,2017,Q4,2017-12-31,2017-12-31,291127428.0,217798967.0,0.0,0.0,73328461.0,0.0,-961695.0
