Quarters,Year,Quarter,FillingDate,Date,MarketCap,EnterpriseValue,bookValuePerShare,debtToAssets,roic,priceToSalesRatio,peRatio,pbRatio,payoutRatio,inventoryTurnover,dividendYield,quickRatio,priceToFreeCashFlowsRatio,grossProfitMargin,epsdilutedGrowth,Industry,Sector,Symbol,ReturnOnAssets,ReturnOnEquity,CurrentRatio,OperatingMargin,NetProfitMargin,DebtToEquity,AssetsTurnover,roicIncrease,quickRatioIncrease,ReturnOnAssetsIncrease,ReturnOnEquityIncrease,CurrentRatioIncrease,OperatingMarginIncrease,NetProfitMarginIncrease,DebtToEquityIncrease,NetIncomeGrowth,RevenueGrowth,OperatingIncomeGrowth,GrossProfitGrowth
2012Q3,2012,Q3,2012-03-26,2012-02-29,852232500.0,1614005500.0,23.029236739974127,0.369801192905621,0.0169642573109408,1.5953584365259876,10.31109350045976,0.9574785412547188,0.1459613802448821,0.9366867238992432,0.0035389403713188,0.6965806633320618,144.86359000509944,0.1627832533063768,0.1627906976744186,Aerospace & Defense,Industrials,AIR,0.00930642937666335,0.023214767211936004,1.8991365203409711,0.06691376744447253,0.03868063160456388,1.493095002696387,0.2405966239590901,0.0005523370354910996,-0.16189953637776155,-0.00031801315006572267,0.002921879214047244,-0.6480518597904616,-0.005119970594031201,0.0018411142249352974,0.3839773243175957,0.17858772530230435,0.12248950414160899,0.0427058720574079,0.12704131888641196
2012Q4,2012,Q4,2012-07-19,2012-05-31,466395250.0,1190944250.0,22.339465185376568,0.3608352503788167,0.013947072464793,0.8279019465834496,9.05340573802314,0.5394041397144969,0.233946734994953,1.0458511685596945,0.0064601858616699,0.7813940907726964,9.825052664840952,0.1438458780216776,-0.36,Aerospace & Defense,Industrials,AIR,0.005865680961426965,0.014895061464247341,2.2468587947407794,0.049408356498492935,0.02286161612934147,1.5377696614464367,0.25657332921003456,-0.0030171848461478003,0.08481342744063458,-0.0034407484152363848,-0.008319705747688663,0.3477222743998083,-0.017505410945979592,-0.01581901547522241,0.04467465875004972,-0.3767119972898417,0.054569960407716285,-0.22131766680654638,-0.06811334207318476
2013Q1,2013,Q1,2012-09-25,2012-08-31,572880000.0,1292780000.0,22.87272727272727,0.3628991383679675,0.0150444448250466,1.0406539509536783,7.86923076923077,0.650556438791733,0.1648351648351648,0.9875536480686696,0.0052366987850858,0.8413346135381661,25.80540540540541,0.1640326975476839,0.40625,Aerospace & Defense,Industrials,AIR,0.008385937428005344,0.02066772655007949,2.481036965914546,0.06975476839237058,0.03306085376930064,1.4628662275721098,0.2536515689075243,0.0010973723602535988,0.059940522765469684,0.0025202564665783795,0.005772665085832148,0.2341781711737667,0.02034641189387764,0.010199237639959169,-0.07490343387432685,0.413153195123845,-0.02280303756483582,0.37960767406768703,0.11433331276608873
2013Q2,2013,Q2,2012-12-21,2012-11-30,586752000.0,1296452000.0,23.63350785340314,0.3557758187548531,0.0147920171814935,1.1442121684867397,8.240898876404493,0.6499246787771378,0.2303370786516854,0.8801986343885785,0.0069876199825479,0.8441744102930665,30.88168421052632,0.1704368174726989,-0.0222222222222222,Aerospace & Defense,Industrials,AIR,0.008130452656100124,0.019716437749224634,2.4941624970216822,0.07371294851794072,0.03471138845553822,1.4243464776251662,0.23423011921618783,-0.0002524276435530992,0.0028397967549004255,-0.00025548477190522056,-0.0009512888008548562,0.013125531107136101,0.003958180125570143,0.0016505346862375828,-0.03851974994694363,-0.02197802197802198,-0.06848319709355132,-0.015625,-0.03211517165005537
2013Q3,2013,Q3,2013-03-22,2013-02-28,671174000.0,1346574000.0,24.18848167539267,0.3260261614794768,0.0151940628696945,1.2902229911572471,9.11921195652174,0.726378787878788,0.1521739130434782,0.9092770837599836,0.004171794497403,0.964167585446527,29.56713656387665,0.1464821222606689,0.0454545454545455,Aerospace & Defense,Industrials,AIR,0.008299503834009923,0.019913419913419914,2.9660970231532526,0.0722798923490965,0.03537101114955786,1.3985930735930736,0.23464140730717187,0.00040204568820099984,0.11999317515346053,0.00016905117790979966,0.0001969821641952807,0.4719345261315704,-0.0014330561688442184,0.000659622694019639,-0.025753404032092586,0.033707865168539325,0.014430577223088924,-0.005291005291005291,-0.12814645308924486
2013Q4,2013,Q4,2013-07-26,2013-05-31,762280000.0,1395580000.0,24.173684210526314,0.3316018531517619,-0.0054080629301868,1.3764535933550015,317.6166666666666,0.8298279991291095,4.833333333333333,1.087723165087062,0.0038043763446502,0.9580976863753212,12.41498371335505,0.108884073672806,-0.9782608695652174,Aerospace & Defense,Industrials,AIR,0.00028078056998455706,0.0006531678641410843,2.6573264781491,0.015890213073311666,0.0010834236186348862,1.32527759634226,0.25916046609574617,-0.0206021257998813,-0.006069899071205809,-0.008018723264025366,-0.01926025204927883,-0.30877054500415246,-0.05638967927578484,-0.034287587530922974,-0.07331547725081355,-0.967391304347826,0.06459054209919261,-0.7659574468085106,-0.20866141732283464
2014Q1,2014,Q1,2013-09-25,2013-08-31,968474000.0,1579774000.0,24.30829015544041,0.3297952282547435,0.015241472943393,1.8823595724003888,13.526173184357544,1.032158158371523,0.1675977653631284,0.9080921191633212,0.003097656725942,1.0363236103467253,47.70807881773399,0.164625850340136,44.0,Aerospace & Defense,Industrials,AIR,0.008406913394702236,0.019077054247042525,2.892129884424876,0.07424684159378037,0.0347910592808552,1.26803794095705,0.2416400526019162,0.0206495358735798,0.07822592397140404,0.008126132824717679,0.01842388638290144,0.234803406275776,0.058356628520468704,0.03370763566222031,-0.05723965538521014,28.833333333333332,-0.07096424702058506,3.340909090909091,0.4046434494195688
2014Q2,2014,Q2,2013-12-20,2013-11-30,1205092000.0,1787392000.0,25.031088082901555,0.3157845911220372,0.0162043257985209,2.228762714999075,15.06365,1.247249016766715,0.15,0.9695989650711514,0.0024894364911558,1.121748458031644,38.01552050473186,0.1683003513963381,0.111111111111111,Aerospace & Defense,Industrials,AIR,0.009276868129319542,0.0206996481059822,2.9029230356663986,0.07527279452561494,0.036989088218975404,1.230283585179052,0.2508001298761538,0.0009628528551279009,0.08542484768491865,0.0008699547346173054,0.001622593858939675,0.01079315124152247,0.0010259529318345784,0.0021980289381202042,-0.03775435577799802,0.11731843575418995,0.050923226433430516,0.06544502617801047,0.0743801652892562
2014Q3,2014,Q3,2014-03-25,2014-02-28,1115540000.0,1715240000.0,25.569948186528496,0.3228051149970629,0.015301713156194,2.351475548060708,15.580167597765364,1.1302330293819656,0.1620111731843575,0.7807813733228098,0.0025996378435555,1.087557603686636,318.7257142857143,0.165893760539629,-0.0999999999999999,Aerospace & Defense,Industrials,AIR,0.008088202069495279,0.018135764944275583,2.8850486431131595,0.07103709949409781,0.037731871838111296,1.2411347517730495,0.21435994758483576,-0.0009026126423269006,-0.034190854345008015,-0.0011886660598242633,-0.0025638831617066163,-0.017874392553239193,-0.004235695031517134,0.0007427836191358922,0.010851166593997652,-0.105,-0.12261882744590345,-0.171990171990172,-0.13516483516483516
2014Q4,2014,Q4,2014-07-17,2014-05-31,937980000.0,1482780000.0,25.89378238341969,0.2882473289383951,0.0145219875522905,1.85591610605461,13.713157894736842,0.9384492246123062,0.1695906432748538,0.8471633353523117,0.0030917503571504,0.9258890823178314,16.2280276816609,0.1697665215670755,-0.0444444444444444,Aerospace & Defense,Industrials,AIR,0.007774494203228006,0.01710855427713857,2.777667246953494,0.06549267906608627,0.03383458646616541,1.199399699849925,0.22977949533984995,-0.0007797256039035003,-0.1616685213688045,-0.0003137078662672722,-0.001027210667137013,-0.10738139615966524,-0.005544420428011537,-0.003897285371945884,-0.041735051923124544,-0.0446927374301676,0.06534569983136594,-0.017804154302670624,0.09021601016518424
