Quarters,Year,Quarter,FillingDate,Date,TotalAssets,CommonStockEquity,CurrentAssets,CurrentLiability,TotalLiability,Inventory,RetainedEarnings
2022Q4,2022,Q4,2022-12-31,2022-12-31,785491890.0,774667072.0,643355.0,2099324.0,10824818.0,0.0,213108567.0
2022Q2,2022,Q2,2022-06-30,2022-06-30,825173246.0,813600893.0,7111013.0,1721870.0,11572353.0,0.0,252042388.0
2021Q4,2021,Q4,2021-12-31,2021-12-31,989147933.0,975478505.0,804960.0,0.0,13669428.0,0.0,413920000.0
2021Q2,2021,Q2,2021-06-30,2021-06-30,959647535.0,946157897.0,0.0,0.0,13489638.0,0.0,384835901.0
2020Q4,2020,Q4,2020-12-31,2020-12-31,858019214.0,843673202.0,0.0,0.0,14346012.0,0.0,282351206.0
2020Q2,2020,Q2,2020-06-30,2020-06-30,725505854.0,708838351.0,0.0,0.0,16667503.0,0.0,147516355.0
2019Q4,2019,Q4,2019-12-31,2019-12-31,805687310.0,792638396.0,0.0,0.0,13048914.0,0.0,231316400.0
2019Q2,2019,Q2,2019-06-30,2019-06-30,750795350.0,738426070.0,0.0,0.0,12369280.0,0.0,160754322.0
2018Q4,2018,Q4,2018-12-31,2018-12-31,689589293.0,674076946.0,0.0,0.0,15512347.0,0.0,96405198.0
2018Q2,2018,Q2,2018-06-30,2018-06-30,756384315.0,748123701.0,0.0,0.0,8260614.0,0.0,-18476686.0
