Quarters,Year,Quarter,FillingDate,Date,TotalAssets,CommonStockEquity,CurrentAssets,CurrentLiability,TotalLiability,Inventory,RetainedEarnings
2022Q4,2022,Q4,2022-12-31,2022-12-31,402290109.0,398492584.0,744467.0,91573.0,3797525.0,0.0,-126951863.0
2022Q2,2022,Q2,2022-06-30,2022-06-30,360340168.0,356382538.0,6166409.0,769783.0,3957630.0,0.0,-178747966.0
2021Q4,2021,Q4,2021-12-31,2021-12-31,316630226.0,313503470.0,846055.0,58189.0,3126756.0,0.0,-228848425.0
2021Q2,2021,Q2,2021-06-30,2021-06-30,301472592.0,296505452.0,0.0,0.0,4967140.0,0.0,-250682319.0
2020Q4,2020,Q4,2020-12-31,2020-12-31,243504377.0,237868478.0,0.0,0.0,5635899.0,0.0,-309319293.0
2020Q2,2020,Q2,2020-06-30,2020-06-30,243041415.0,240409383.0,0.0,0.0,2632032.0,0.0,-321805214.0
2019Q4,2019,Q4,2019-12-31,2019-12-31,379850347.0,374895823.0,0.0,0.0,4954524.0,0.0,-187318774.0
2019Q2,2019,Q2,2019-06-30,2019-06-30,395395514.0,390761356.0,0.0,0.0,4634158.0,0.0,-189146348.0
2018Q4,2018,Q4,2018-12-31,2018-12-31,359515899.0,357390574.0,0.0,0.0,2125325.0,0.0,-222517130.0
2018Q2,2018,Q2,2018-06-30,2018-06-30,487790957.0,476305048.0,0.0,0.0,11485909.0,0.0,-10562679.0
