Quarters,Year,Quarter,FillingDate,Date,TotalAssets,CommonStockEquity,CurrentAssets,CurrentLiability,TotalLiability,Inventory,RetainedEarnings
2022Q4,2022,Q4,2022-12-31,2022-12-31,1855995096.0,1319443612.0,30106930.0,4709550.0,536551484.0,0.0,-366988777.0
2022Q2,2022,Q2,2022-06-30,2022-06-30,1670903120.0,1156031341.0,62965243.0,14858709.0,514871779.0,0.0,-395478595.0
2021Q4,2021,Q4,2021-12-31,2021-12-31,2135760468.0,1465170847.0,29668371.0,20018268.0,670589621.0,0.0,-85273223.0
2021Q2,2021,Q2,2021-06-30,2021-06-30,2212934406.0,1498597274.0,0.0,0.0,714337132.0,0.0,-64366302.0
2020Q4,2020,Q4,2020-12-31,2020-12-31,2163704044.0,1456906910.0,0.0,0.0,706797134.0,0.0,-105563988.0
2020Q2,2020,Q2,2020-06-30,2020-06-30,1976450362.0,1312121085.0,0.0,0.0,664329277.0,0.0,-263904689.0
2019Q3,2019,Q3,2019-08-31,2019-08-31,1950716650.0,1440436240.0,0.0,0.0,510280410.0,0.0,-139173985.0
2019Q1,2019,Q1,2019-02-28,2019-02-28,2033792904.0,1418632673.0,0.0,0.0,615160231.0,0.0,-168796317.0
2018Q3,2018,Q3,2018-08-31,2018-08-31,2158951985.0,1482422087.0,0.0,0.0,676529898.0,0.0,1956326.0
2018Q1,2018,Q1,2018-02-28,2018-02-28,2242287007.0,1518809596.0,0.0,0.0,723477411.0,0.0,-2135232.0
