Quarters,Year,Quarter,FillingDate,Date,TotalAssets,CommonStockEquity,CurrentAssets,CurrentLiability,TotalLiability,Inventory,RetainedEarnings
2022Q4,2022,Q4,2022-12-31,2022-12-31,694599921.0,688463885.0,1707723.0,135886.0,6136036.0,0.0,-7640554.0
2022Q2,2022,Q2,2022-06-30,2022-06-30,726207316.0,709839026.0,3593053.0,7844058.0,16368290.0,0.0,-3617207.0
2021Q4,2021,Q4,2021-12-31,2021-12-31,869500791.0,857720611.0,1653274.0,142052.0,11780180.0,0.0,139183460.0
2021Q2,2021,Q2,2021-06-30,2021-06-30,861463196.0,849969547.0,0.0,0.0,11493649.0,0.0,131432396.0
2020Q4,2020,Q4,2020-12-31,2020-12-31,798064040.0,786230002.0,0.0,0.0,11834038.0,0.0,67487605.0
2020Q2,2020,Q2,2020-06-30,2020-06-30,702948108.0,694893422.0,0.0,0.0,8054686.0,0.0,-65590001.0
2019Q4,2019,Q4,2019-12-31,2019-12-31,817635083.0,807711782.0,0.0,0.0,9923301.0,0.0,41740006.0
2019Q2,2019,Q2,2019-06-30,2019-06-30,810762616.0,798554579.0,0.0,0.0,12208037.0,0.0,-13036347.0
2018Q4,2018,Q4,2018-12-31,2018-12-31,760853652.0,754601561.0,0.0,0.0,6252091.0,0.0,-68387479.0
2018Q2,2018,Q2,2018-06-30,2018-06-30,829072538.0,820607590.0,0.0,0.0,8464948.0,0.0,-19351880.0
