Quarters,Year,Quarter,FillingDate,Date,MarketCap,EnterpriseValue,bookValuePerShare,debtToAssets,roic,priceToSalesRatio,peRatio,pbRatio,payoutRatio,inventoryTurnover,dividendYield,quickRatio,priceToFreeCashFlowsRatio,grossProfitMargin,epsdilutedGrowth,Industry,Sector,Symbol,ReturnOnAssets,ReturnOnEquity,CurrentRatio,OperatingMargin,NetProfitMargin,DebtToEquity,AssetsTurnover,roicIncrease,quickRatioIncrease,ReturnOnAssetsIncrease,ReturnOnEquityIncrease,CurrentRatioIncrease,OperatingMarginIncrease,NetProfitMarginIncrease,DebtToEquityIncrease,NetIncomeGrowth,RevenueGrowth,OperatingIncomeGrowth,GrossProfitGrowth
2008Q3,2008,Q3,2008-11-03,2008-09-30,87077009.269812,75211009.269812,5.091851172933115,0.0,0.3001809752109214,0.0,-30.446506737696502,1.0094012620245751,0.0,0.0,0.0,152.89857651245552,-110.64423033012962,0.0,0.2000040177584925,Leisure,Consumer Cyclical,CLAR,-0.008197567099666365,-0.008288317529501774,153.2081850533808,0.0,0.0,0.011070410126817054,0.0,0.0,-48.74394685203049,0.0007312079590605716,0.0007231798982508756,-48.871254198955654,0.0,0.0,0.0018057160918989405,0.0868454661558109,0.12127487591791436,0.0692995529061102,0.0
2008Q4,2008,Q4,2009-03-03,2008-12-31,71859662.251524,52517662.251524,5.098816123648416,0.0,0.3001809752109214,0.0,-36.888943660946616,0.8318631025597796,0.0,0.0,0.0,224.63707571801567,-81.56601844667878,0.0,0.2781764821301816,Leisure,Consumer Cyclical,CLAR,-0.005586335845463826,-0.005637618077421745,224.92167101827675,0.0,0.0,0.00917994072976477,0.0,0.0,71.73849920556015,0.0026112312542025387,0.002650699452080029,71.71348596489597,0.0,0.0,-0.001890469397052284,0.3188811188811188,0.12127487591791436,0.1649319455564451,0.0
2009Q1,2009,Q1,2009-05-04,2009-03-31,65096393.14518,8782393.145180002,5.053721019017149,0.0,0.3001809752109214,0.0,-27.078366532936773,0.7602942436951646,0.0,0.0,0.0,452.7659574468085,-69.03116982521739,0.0,-0.3853801867679671,Leisure,Consumer Cyclical,CLAR,-0.0069707830242295606,-0.007019387993459472,453.5691489361702,0.0,0.0,0.006972669936930623,0.0,0.0,228.12888172879283,-0.0013844471787657344,-0.0013817699160377271,228.64747791789347,0.0,0.0,-0.002207270792834147,-0.2340862422997946,0.12127487591791436,0.0297219558964525,0.0
2009Q2,2009,Q2,2009-08-06,2009-06-30,64081907.86182,-1594092.1381800026,5.005674664082788,0.0,0.3001809752109214,0.0,-17.394654685618892,0.7556294113838644,0.0,0.0,0.0,674.504,-78.53174983066177,0.0,-0.2500062777791728,Leisure,Consumer Cyclical,CLAR,-0.010790608304433406,-0.01086008065467066,675.936,0.0,0.0,0.006438223710586515,0.0,0.0,221.73804255319152,-0.003819825280203845,-0.003840692661211189,222.3668510638298,0.0,0.0,-0.0005344462263441084,-0.5324459234608985,0.12127487591791436,-0.1047430830039525,0.0
2009Q3,2009,Q3,2009-11-02,2009-09-30,74395892.401896,15539892.401896,4.95739220912418,0.0,0.3001809752109214,0.0,-21.88114482408706,0.8857919274407773,0.0,0.0,0.0,262.6551724137931,-139.57953546321951,0.0,0.0,Leisure,Consumer Cyclical,CLAR,-0.010030563717680933,-0.010120493403819594,263.2131661442006,0.0,0.0,0.008965566509501357,0.0,0.0,-411.84882758620694,0.0007600445867524726,0.0007395872508510672,-412.7228338557994,0.0,0.0,0.0025273427989148424,0.0770901194353963,0.12127487591791436,0.1896243291592128,0.0
2009Q4,2009,Q4,2010-03-15,2009-12-31,71859662.251524,13496662.251524,4.818329294842418,0.0,0.3001809752109214,0.0,-7.264421982564093,0.8802879048844081,0.0,0.0,0.0,48.11908931698774,-52.56741935005413,0.0,-1.9323377325980808,Leisure,Consumer Cyclical,CLAR,-0.0295139096084305,-0.030294492355938847,48.508464681844714,0.0,0.0,0.02644796158369267,0.0,0.0,-214.53608309680533,-0.019483345890749564,-0.020173998952119254,-214.7047014623559,0.0,0.0,0.01748239507419131,-1.9094117647058824,0.12127487591791436,-1.7770419426048565,0.0
2010Q1,2010,Q1,2010-05-10,2010-03-31,81159144.566268,24221144.566268,4.686054256257772,0.0,0.3001809752109214,0.0,-8.615620442278981,1.0222713477128138,0.0,0.0,0.0,53.754666666666665,-45.08841364792666,0.0,0.0451386747432267,Leisure,Consumer Cyclical,CLAR,-0.0289493417251595,-0.02966331196231311,53.808,0.0,0.0,0.02466274514743485,0.0,0.0,5.635577349678925,0.0005645678832709999,0.0006311803936257382,5.299535318155286,0.0,0.0,-0.0017852164362578207,0.0477153255155681,0.12127487591791436,0.0552464228934817,0.0
2010Q2,2010,Q2,2010-08-09,2010-06-30,128826079.771208,149101079.771208,8.752933137037168,0.1146717789769216,0.3001809752109214,16.635599144009298,0.5621370838113208,0.7867337602365098,0.0,0.1894851086921824,0.0,1.1017264617161928,-16.726315213088547,0.2334710743801653,22.64293298895107,Leisure,Consumer Cyclical,CLAR,0.27877499184982263,0.34988518943742825,3.36679288877479,-1.4118026859504131,7.398372933884297,0.255080978088282,0.037680581168467814,0.0,-52.652940204950475,0.30772433357498213,0.37954850139974133,-50.44120711122521,-1.4118026859504131,7.398372933884297,0.23041823294084715,25.32823779193206,0.12127487591791436,-3.599495161968868,0.0
2010Q3,2010,Q3,2010-11-09,2010-09-30,142685353.66219202,174019353.66219202,7.437558847535724,0.1517732850254906,-0.0087590184916066,4.203303884469216,-10.829185918502734,0.8789074660116297,0.0,0.7322274881516587,0.0,1.5081187907274864,-12.002469184235531,0.2808872915807459,-1.0495048717227915,Leisure,Consumer Cyclical,CLAR,-0.015183781840307548,-0.020290247868723205,3.430295908556778,-0.07075944146585754,-0.09703646968715018,0.33631055043611097,0.15647500253523983,-0.308939993702528,0.40639232901129363,-0.2939587736901302,-0.37017543730615143,0.06350301978198791,1.3410432444845557,-7.495409403571447,0.08122957234782896,-1.057493934686611,3.383522727272727,0.7802981798225556,4.273783185840708
2010Q4,2010,Q4,2011-03-15,2010-12-31,173104564.927632,200101564.927632,7.42984916661027,0.1399479967462702,-0.0016811416598696,5.0582831198536615,-95.32189698658148,1.062499631281423,0.0,0.6248354415889188,0.0,1.2008608321377332,31.17316134119071,0.3620185845362632,0.8613590253365628,Leisure,Consumer Cyclical,CLAR,-0.002134672440626484,-0.0027866095432169994,3.2077782332445173,-0.019139734673601777,-0.013266319911168254,0.3054038128675072,0.16090916357515317,0.007077876831736999,-0.30725795858975324,0.013049109399681064,0.017503638325506207,-0.22251767531226063,0.05161970679225576,0.08377014977598193,-0.030906737568603793,0.8621736490588949,0.00813056030165557,0.7273105745212323,0.29931830099632933
