Quarters,Year,Quarter,FillingDate,Date,TotalAssets,CommonStockEquity,CurrentAssets,CurrentLiability,TotalLiability,Inventory,RetainedEarnings
2022Q4,2022,Q4,2022-10-31,2022-10-31,464412190.0,360448219.0,4115397.0,14529.0,103963971.0,0.0,33861161.0
2022Q2,2022,Q2,2022-04-30,2022-04-30,523653605.0,418370673.0,2708890.0,786625.0,105282932.0,0.0,92178718.0
2021Q4,2021,Q4,2021-10-31,2021-10-31,607556395.0,503815356.0,3328745.0,0.0,103741039.0,0.0,187140240.0
2021Q2,2021,Q2,2021-04-30,2021-04-30,569786986.0,463037292.0,0.0,0.0,106749694.0,0.0,158681372.0
2020Q4,2020,Q4,2020-10-31,2020-10-31,455372348.0,351153352.0,0.0,0.0,104218996.0,0.0,46797432.0
2020Q2,2020,Q2,2020-04-30,2020-04-30,419916955.0,312886933.0,0.0,0.0,107030022.0,0.0,8531013.0
2019Q4,2019,Q4,2019-10-31,2019-10-31,481287142.0,359796243.0,0.0,0.0,121490899.0,0.0,70714055.0
2019Q2,2019,Q2,2019-04-30,2019-04-30,475430881.0,356800175.0,0.0,0.0,118630706.0,0.0,68152365.0
2018Q4,2018,Q4,2018-10-31,2018-10-31,452954522.0,333770812.0,0.0,0.0,119183710.0,0.0,45459835.0
2018Q2,2018,Q2,2018-04-30,2018-04-30,473187841.0,352035587.0,0.0,0.0,121152254.0,0.0,-12059292.0
