Quarters,Year,Quarter,FillingDate,Date,TotalAssets,CommonStockEquity,CurrentAssets,CurrentLiability,TotalLiability,Inventory,RetainedEarnings
2023Q4,2023,Q4,2023-02-28,2023-02-28,903464043.0,554191930.0,17414488.0,2599750.0,349272113.0,0.0,-38015538.0
2023Q2,2023,Q2,2022-08-31,2022-08-31,912505399.0,562843479.0,26828496.0,2329158.0,349661920.0,0.0,-29424272.0
2022Q4,2022,Q4,2022-02-28,2022-02-28,992057085.0,642437878.0,12231903.0,2234663.0,349619207.0,0.0,50168635.0
2022Q2,2022,Q2,2021-08-31,2021-08-31,1045551325.0,695384890.0,0.0,0.0,350166435.0,0.0,103055364.0
2021Q4,2021,Q4,2021-02-28,2021-02-28,1032794898.0,681846270.0,0.0,0.0,350948628.0,0.0,89515291.0
2021Q2,2021,Q2,2020-08-31,2020-08-31,1028125367.0,674690451.0,0.0,0.0,353434916.0,0.0,82299368.0
2020Q4,2020,Q4,2020-02-29,2020-02-29,1063393630.0,710436570.0,0.0,0.0,352957060.0,0.0,117701720.0
2020Q2,2020,Q2,2019-08-31,2019-08-31,1036324866.0,694964009.0,0.0,0.0,341360857.0,0.0,102302474.0
2019Q4,2019,Q4,2019-02-28,2019-02-28,981917308.0,642961330.0,0.0,0.0,338955978.0,0.0,50247953.0
2019Q2,2019,Q2,2018-08-31,2018-08-31,973590481.0,649268541.0,0.0,0.0,324321940.0,0.0,1367943.0
2018Q4,2018,Q4,2018-02-28,2018-02-28,978066718.0,653684015.0,0.0,0.0,324382703.0,0.0,1465610.0
2018Q2,2018,Q2,2017-08-31,2017-08-31,1003935906.0,677046269.0,0.0,0.0,326889637.0,0.0,1351651.0
2017Q3,2017,Q3,2016-10-31,2016-10-31,1004357708.0,682862207.0,0.0,0.0,321495501.0,0.0,713075.0
2017Q1,2017,Q1,2016-04-30,2016-04-30,1017067742.0,688971263.0,0.0,0.0,328096479.0,0.0,1655681.0
2016Q3,2016,Q3,2015-10-31,2015-10-31,981087374.0,655207905.0,0.0,0.0,325879469.0,0.0,1895316.0
2016Q1,2016,Q1,2015-04-30,2015-04-30,993777043.0,668669590.0,0.0,0.0,325107453.0,0.0,2444690.0
2015Q3,2015,Q3,2014-10-31,2014-10-31,148401287.0,102163110.0,0.0,0.0,46238177.0,0.0,472962.0
2015Q1,2015,Q1,2014-04-30,2014-04-30,145692845.0,100180619.0,0.0,0.0,45512226.0,0.0,773618.0
2014Q3,2014,Q3,2013-10-31,2013-10-31,140961150.0,95302310.0,0.0,0.0,45658840.0,0.0,348130.0
2014Q1,2014,Q1,2013-04-30,2013-04-30,151687588.0,105892254.0,0.0,0.0,45795334.0,0.0,388742.0
2013Q3,2013,Q3,2012-10-31,2012-10-31,151415152.0,105837905.0,0.0,0.0,45577247.0,0.0,-489593.0
2013Q1,2013,Q1,2012-04-30,2012-04-30,151873599.0,100577930.0,0.0,0.0,51295669.0,0.0,-87909.0
2012Q3,2012,Q3,2011-10-31,2011-10-31,142104191.0,94853700.0,0.0,0.0,47250491.0,0.0,96527.0
2012Q1,2012,Q1,2011-04-30,2011-04-30,135272356.0,89398621.0,0.0,0.0,45873735.0,0.0,968050.0
2011Q3,2011,Q3,2010-10-31,2010-10-31,142113678.0,97316025.0,0.0,0.0,44797653.0,0.0,1543760.0
