Quarters,Year,Quarter,FillingDate,Date,NetIncome,Revenue,OperatingIncome,EPSDiluted,GrossProfit,GrossProfitRatio,TotalAssets,CommonStockEquity,CurrentAssets,CurrentLiability,TotalLiability,Inventory,RetainedEarnings,MarketCap,EnterpriseValue,bookValuePerShare,currentRatio,debtToAssets,debtToEquity,roic,shareholdersEquityPerShare,roe,priceToSalesRatio,peRatio,pbRatio,payoutRatio,inventoryTurnover,dividendYield,assetTurnover,quickRatio,returnOnAssets,priceToFreeCashFlowsRatio,grossProfitMargin,epsdilutedGrowth,fiveYNetIncomeGrowthPerShare,fiveYRevenueGrowthPerShare,fiveYShareholdersEquityGrowthPerShare,grossProfitGrowth,netIncomeGrowth,operatingIncomeGrowth,threeYNetIncomeGrowthPerShare,threeYRevenueGrowthPerShare,threeYShareholdersEquityGrowthPerShare,Industry,Sector,Symbol
2023Q1,2023,Q1,2023-05-08,2023-03-31,49273000.0,201320000.0,74565000.0,0.71,106064000.0,0.5268428373,2528263000.0,1048554000.0,135264000.0,296623000.0,1479709000.0,0.0,635871000.0,1969519760.0,2917624760.0,15.583075734157651,0.4560131884580764,0.39016510544986815,0.9407622306528801,0.029181040833307678,15.583075734157651,0.04699138051068424,9.783030796741507,9.99289550057841,1.878319819484738,0.4487244535546851,0.0,0.011226086911664192,0.07962779188715731,0.4170377887082256,0.019488874377388745,30.975084297936586,0.5268428372739916,-0.04054054054054058,3.2861227989699846,0.7558321340555887,1.406820945434084,0.00979673442185938,-0.05731886969331726,-0.06328907201989875,-0.1316411912472798,-0.007822378790966682,0.817953989155619,Asset Management,Financial Services,VCTR
2022Q4,2022,Q4,2023-03-06,2022-12-31,52269000.0,201515000.0,79603000.0,0.74,105035000.0,0.5212267077,2540899000.0,1065410000.0,157887000.0,281262000.0,1475489000.0,0.0,609122000.0,1825888820.0,2773231820.0,15.655361918476505,0.5613520489792435,0.38786035966010457,0.9250091514065008,0.02933894115632328,15.655361918476505,0.04905998629635539,9.060808475795847,8.73313445828311,1.7137898273903942,0.32663720369626353,0.0,0.009350514561998358,0.07930854394448579,0.5313337742034118,0.020571065595287336,27.60934510758623,0.5212267076892539,-0.26732673267326734,3.2208287219293563,0.7265323795571702,3.171394657789991,-0.056899400208310885,-0.28166400967511407,-0.1929947283049473,0.38193753956905324,-0.08366639347525505,0.9685372377992519,Asset Management,Financial Services,VCTR
2022Q3,2022,Q3,2022-11-07,2022-09-30,72764000.0,207260000.0,98640000.0,1.01,111372000.0,0.5373540481,2589125000.0,1067009000.0,161524000.0,318045000.0,1522116000.0,28908000.0,573744000.0,1599275790.0,2532449790.0,15.552026702036176,0.5078652391957112,0.38617023125573313,0.9370520773489258,0.04068900575872118,15.552026702036176,0.06819436387134505,7.716278056547332,5.494735686603264,1.4988400191563518,0.23896432301687648,3.3170056731700566,0.010872421197597197,0.08005021001303529,0.5757392821770504,0.028103702988461352,15.727281390134529,0.5373540480555824,-0.0733944954128441,7.993453233694899,0.9640204534782689,3.721697376777289,-0.05260471605022287,-0.08132062369799886,0.06204980781032979,1.7633658009175077,-0.04834628583249093,1.0786987109717043,Asset Management,Financial Services,VCTR
2022Q2,2022,Q2,2022-08-08,2022-06-30,79205000.0,216006000.0,92877000.0,1.09,117556000.0,0.5442256234,2567570000.0,1038181000.0,141378000.0,324137000.0,1529389000.0,29498000.0,518380000.0,1651356100.0,2626134100.0,15.151282088702734,0.43616742303408745,0.3962875403591723,0.9800757286060908,0.03408295824669138,15.151282088702734,0.07629209164875875,7.644954769774913,5.212284893630453,1.5906244672171808,0.21915283126065274,3.337514407756458,0.010511360935415444,0.08412857293082565,0.5032316582185927,0.03084823393325206,18.65770438830388,0.5442256233623141,0.12371134020618568,31.687605576412476,1.0790517483997808,0.0,-0.0327315812858953,0.11129039047044463,-0.08530712337131545,4.431463827045704,1.3319728910878075,1.10281752661109,Asset Management,Financial Services,VCTR
2022Q1,2022,Q1,2022-05-09,2022-03-31,71273000.0,230019000.0,101539000.0,0.97,121534000.0,0.5283650481,2572592000.0,986274000.0,140177000.0,353140000.0,1586318000.0,0.0,456466000.0,1984725890.0,3006704890.0,14.346429662385267,0.3969445545675936,0.4122414281005305,1.0752884086977859,0.039050104453981174,14.346429662385267,0.07226490812897836,8.628530208374091,6.961703204579575,2.012347370000629,0.24386513827115458,0.0,0.00875738059727734,0.08941137965133997,0.3745341790791188,0.02770474292075852,26.952834716243192,0.5283650481047217,0.03191489361702131,14.638605434879103,1.2126329782577416,0.0,0.0011532695190866105,0.021952338619483237,0.13042171357320984,3.8187396755161096,1.5825233877790628,1.0603056346211333,Asset Management,Financial Services,VCTR
2021Q4,2021,Q4,2022-03-14,2021-12-31,69742000.0,229122000.0,89824000.0,0.94,121394000.0,0.52982254,2579746000.0,929927000.0,180492000.0,371482000.0,1649819000.0,0.0,402811000.0,2497848340.0,3556239340.0,13.599798180701395,0.4858701094534863,0.43722288938523407,1.2129167128172427,0.03559507689914435,13.599798180701395,0.0749972847331027,10.901826712406491,8.953888402970952,2.6860692721041546,0.16847810501562904,0.0,0.004704048605288822,0.08881572061745614,0.6850183858168094,0.02703444447631666,23.179951001772473,0.5298225399568789,-0.06000000000000005,26.258607296752622,1.2742333826587449,1.7350656518857583,-0.03344108795006131,-0.05976407145264577,-0.09265937351636919,3.9634544809676315,1.3643824630540187,1.0215643472669311,Asset Management,Financial Services,VCTR
2021Q3,2021,Q3,2021-11-08,2021-09-30,74175000.0,226290000.0,98997000.0,1.0,125594000.0,0.5550134783,1791030000.0,867667000.0,173489000.0,157158000.0,923363000.0,0.0,344748000.0,2379979800.0,2949136800.0,12.763562812591939,1.1039145318723833,0.35392874491214554,0.7305763616687047,0.052950568391773666,12.763562812591939,0.08548786573650952,10.517388307039639,8.021502527805863,2.7429645244085576,0.14521065048870913,0.0,0.004525668663238234,0.12634629235691194,1.2581033100446684,0.04141471667141254,24.495973568826034,0.5550134782800831,0.07526881720430102,20.40516005664236,1.571483434189022,0.0,0.04471007078747952,0.07080987440450412,0.03914220934626527,2.602069571911489,1.0934513769235685,0.9632963708325064,Asset Management,Financial Services,VCTR
2021Q2,2021,Q2,2021-08-06,2021-06-30,69270000.0,221904000.0,95268000.0,0.93,120219000.0,0.5417613022,1756075000.0,816156000.0,136536000.0,151853000.0,939919000.0,0.0,281344000.0,2188487040.0,2824404040.0,12.041961756373938,0.8991327138746024,0.38013125863075325,0.8179061355917251,0.04947579047414057,12.041961756373938,0.08487348006998661,9.862314514384598,7.898394110004332,2.681456780321409,0.11902699581348347,0.0,0.0037674429180078674,0.1263636234215509,0.8581061948068197,0.039445923437210824,27.575311728239505,0.5417613021847285,0.05681818181818187,27.90170451781339,1.1592969617806517,0.0,0.07491952789699571,0.062390724210913774,0.06141093631623513,2.7186902043490293,1.1309546860517994,0.9447591788213168,Asset Management,Financial Services,VCTR
2021Q1,2021,Q1,2021-05-07,2021-03-31,65202000.0,212949000.0,89756000.0,0.88,111840000.0,0.5251961737,1749670000.0,765376000.0,129086000.0,151428000.0,984294000.0,0.0,220302000.0,1731971160.0,2424237160.0,11.295228818937147,0.8524579338035237,0.41302188412672103,0.9441790701563676,0.047462150303886994,11.295228818937147,0.08518950163057112,8.133267402054013,6.64079000644152,2.262902364328121,0.09804913959694488,0.0,0.003691170007703824,0.1217080935262078,0.8077105951343213,0.037265312887573086,21.857007862091596,0.5251961737317385,0.17333333333333334,13.514692682345338,1.0782377031809645,0.0,0.043215461676942735,0.18775844794607888,0.1554136683701711,4.632151587610132,0.8442911810660758,0.7445588899564021,Asset Management,Financial Services,VCTR
2020Q4,2020,Q4,2021-03-15,2020-12-31,54895000.0,200388000.0,77683000.0,0.75,107207000.0,0.5349971056,1730729000.0,707541000.0,117930000.0,134644000.0,1023188000.0,0.0,161581000.0,1674402090.0,2420667090.0,10.483797359569708,0.8758652446451383,0.44432663923699206,1.0868755308879627,0.03979399966515025,10.483797359569708,0.07758560987985148,8.355800197616624,7.625476318426085,2.36650892315781,0.08594589671190454,0.0,0.002817722235404042,0.11578242463147033,0.830694275274056,0.03171784837487556,25.034793445270097,0.5349971056151067,-0.013157894736842117,21.14332655916392,1.0152241082354139,1.10840438060169,0.04942344211907046,-0.015177338045603775,-0.03610735423672031,3.4699945214255705,0.7312497473862656,1.7934235265075025,Asset Management,Financial Services,VCTR
