symbol,Category,netIncomeApplicableToCommonShares,operatingIncome,totalRevenue,grossProfit,ebit,endDate,totalLiab,totalStockholderEquity,totalAssets,totalCurrentLiabilities,totalCurrentAssets,retainedEarnings
AAPL,0,99803000000,119437000000,394328000000,170782000000,119437000000,1663977600,302083000000,50672000000,352755000000,153982000000,135405000000,-3068000000
AAPL,1,94680000000,108949000000,365817000000,152836000000,108949000000,1632528000,287912000000,63090000000,351002000000,125481000000,134836000000,5562000000
AAPL,2,57411000000,66288000000,274515000000,104956000000,66288000000,1601078400,258549000000,65339000000,323888000000,105392000000,143713000000,14966000000
AAPL,3,55256000000,63930000000,260174000000,98392000000,63930000000,1569628800,248028000000,90488000000,338516000000,105718000000,162819000000,45898000000
TSLA,0,12583000000,13692000000,81462000000,20853000000,13692000000,1672444800,36440000000,44704000000,82338000000,26709000000,40917000000,12885000000
TSLA,1,5524000000,6523000000,53823000000,13606000000,6523000000,1640908800,30548000000,30189000000,62131000000,19705000000,27100000000,329000000
TSLA,2,690000000,1951000000,31536000000,6630000000,1951000000,1609372800,28469000000,22225000000,52148000000,14248000000,26717000000,-5399000000
TSLA,3,-870000000,80000000,24578000000,4069000000,80000000,1577750400,26199000000,6618000000,34309000000,10667000000,12103000000,-6083000000
AMRN,0,-105803000,-74265000,369193000,260562000,-74265000,1672444800,290846000,595333000,886179000,259479000,689098000,-1527251000
AMRN,1,7729000,24219000,583187000,461860000,24219000,1640908800,400966000,667099000,1068065000,370682000,878727000,-1421448000
AMRN,2,-18000000,-19655000,614060000,482616000,-19655000,1609372800,338516000,627505000,966021000,307443000,879233000,-1429177000
AMRN,3,-22645000,-24279000,429755000,333736000,-24279000,1577750400,273946000,586413000,882209000,242248000,855005000,-1411177000
