symbol,sector,industry,beta_5Y_Monthly,bookValue_book_value_per_share,earningsQuarterlyGrowth_Quarterly_earnings_growth_year-over-year,enterpriseToEbitda,enterpriseToRevenue,enterpriseValue,forwardEps_forward_means_using_forecast_earning_for_next_12_month,forwardPE,heldPercentInsiders,heldPercentInstitutions,netIncomeToCommon_income_that_could_be_given_to_common_stockholders_ttm,pegRatio,priceToBook,trailingEps_for_recent_past_12_month,averageDailyVolume10Day,averageDailyVolume3Month,marketCap,currentRatio_mrq,debtToEquity_mrq,ebitda_ttm,ebitdaMargins_ttm,freeCashflow_ttm,grossMargins_ttm,grossProfits_ttm,operatingCashflow_ttm,operatingMargins_ttm,profitMargins_ttm,quickRatio_mrq,returnOnAssets_ttm,returnOnEquity_ttm,revenueGrowth_quarterly_revenue_growth_yoy,"revenuePerShare_ttm
totalCash_mrq",totalCashPerShare_mrq,totalDebt_mrq,totalRevenue_ttm,environmentScore,esgPerformance,governanceScore,highestControversy,peerEnvironmentPerformance,peerEsgScorePerformance,peerGovernancePerformance,peerHighestControversyPerformance,peerSocialPerformance,socialScore,totalEsg,fiftyDayAverage,fiftyTwoWeekHigh,fiftyTwoWeekLow,twoHundredDayAverage,dividendRate,dividendYield,fiveYearAvgDividendYield,payoutRatio
NMFC,Financial Services,Asset Management,1.187841,13.144,0.232,{},10.161,3227241984,1.45,8.575862,0.1076,0.44335997,83113000,5.48,0.94605905,0.81,381980,298890,1255151616,0.469,148.978,{},0.0,83426248,1.0,294630000,76672000,0.73512,0.26167,0.389,0.0433,0.06082,0.333,3.15,0.46,1994067968,317620000,{},{},{},{},{},{},{},{},{},{},{},12.1116,13.59,11.17,12.3096,1.24,0.1,10.44,1.55
XPON,Industrials,Electrical Equipment & Parts,{},1.439,{},-4.753,5.189,33805896,-0.8,-6.85,0.43932998,0.025840001,-8816965,{},3.8082001,-1.47,36930,47106,37870744,4.173,43.867,-7112479,-1.09176,-4070225,0.28705,{},-7397702,-1.11999,-1.3534,2.257,-0.37053,-1.53461,-0.301,0.963,0.829,4356540,6514669,{},{},{},{},{},{},{},{},{},{},{},4.8512,7.15,0.9,3.30656,{},{},{},0.0
NUBI,Financial Services,Shell Companies,{},-0.393,{},{},{},165772320,{},{},0.0,0.98524004,753564,{},{},0.07,15160,54258,165257824,0.105,{},{},0.0,{},0.0,{},-1244840,0.0,0.0,0.036,{},{},{},{},0.006,1235000,{},{},{},{},{},{},{},{},{},{},{},{},10.5468,11.61,9.97,10.316745,{},{},{},0.0
FCNCO,Financial Services,Banks—Regional,0.987676,1262.742,34.122,{},2.272,8868820992,{},{},0.0,0.13567,10288000000,{},0.016321626,57.468,16440,19346,{},{},{},{},0.0,{},0.0,3999000000,1852000000,0.2475,2.65053,{},0.06401,0.69461995,-0.161,256.459,2800.759,48355999744,3903000064,{},{},{},{},{},{},{},{},{},{},{},20.38864,24.28,16.58,20.7714,1.41,0.0687,{},{}
NTWK,Technology,Software—Application,0.659507,3.339,{},-5.854,0.445,23208218,0.38,{},0.19761999,0.23885,-2336472,{},0.6948188,-0.21,14980,10730,26213680,2.312,17.688,-3964345,-0.07602,-6870675,0.37547,26686267,99290,-0.14241,-0.04481,2.176,-0.06554,-0.0094800005,-0.088,4.629,1.351,7256953,52147296,{},{},{},{},{},{},{},{},{},{},{},2.2918,3.8,2.11,2.7784,{},{},{},0
CDAQU,Financial Services,Shell Companies,{},-0.349,-0.526,{},{},274632704,{},{},0.0,0.03768,7752850,{},{},-0.589,170,195,{},1.015,{},{},0.0,332868,0.0,{},-662407,0.0,0.0,0.729,-0.00352,{},{},{},0.029,327321,{},{},{},{},{},{},{},{},{},{},{},{},10.3073,11.06,9.67,10.096315,{},{},{},{}
HPF,Financial Services,Asset Management,0.818989,17.13,{},{},14.389,532076256,{},{},0.00041,0.07026,-20547684,{},0.87624055,-0.97,49730,42531,323112768,5.817,56.204,{},0.0,19804844,1.0,36332223,31056680,0.87483,-0.55569,1.279,0.03358,-0.052210003,0.035,1.722,0.005,206700000,36976872,7.69,LAG_PERF,7.8,,4.360769230769231,27.628461538461544,9.184615384615386,{},10.476153846153846,10.3,29.33,14.7882,19.38,13.93,15.84085,1.48,0.0994,7.99,{}
EGGF,Financial Services,Shell Companies,{},-0.484,-0.651,{},{},290893856,{},{},0.0,1.0865899,872031,{},{},0.03,2920,70393,101623920,0.06,{},{},0.0,1332804,0.0,{},-1327013,0.0,0.0,0.035,-0.0119,{},{},{},0.007,1400000,{},{},{},{},{},{},{},{},{},{},{},{},10.2648,10.35,9.71,10.05258,{},{},{},0
VNOM,Energy,Oil & Gas Midstream,1.92007,9.25,1.046,5.578,5.314,4205447168,1.86,13.876344,0.01523,0.75054,168662000,0.35,2.7902703,2.22,352660,389325,4199983872,4.477,30.324,753897984,0.95263,285376640,1.0,823610000,671201024,0.79512,0.21359,4.315,0.13064,0.2713,-0.164,10.62,0.126,695153984,791388032,{},{},{},{},{},{},{},{},{},{},{},26.6182,36.1,24.27,29.812075,2.12,0.0806,7.35,1.0933
MODN,Technology,Software—Application,0.702527,2.419,{},-274.932,5.7,1345790080,1.12,30.584822,0.06372,1.03432,-51699000,0.37,14.160811,-1.39,238130,273578,1322558208,3.699,317.898,-4895000,-0.02073,27706624,0.5582,122044000,16209000,-0.05789,-0.21897,3.579,-0.02022,-0.46141,0.175,6.314,7.102,292977984,236100000,{},{},{},{},{},{},{},{},{},{},{},31.8058,43.18,24.2,35.2648,{},{},{},0
CF,Basic Materials,Agricultural Inputs,1.003521,27.976,-0.366,3.001,1.628,16817550336,7.15,9.8069935,0.00417,0.94539,3023000064,-0.25,2.5064342,15.02,2344840,2653810,13673400320,4.464,40.198,5603999744,0.5425,2618125056,0.48654,5861000000,3411000064,0.46041,0.29264,3.836,0.21872999,0.47645,-0.298,51.598,14.493,3252000000,10330000384,16.82,OUT_PERF,5.49,1,13.391718750000003,26.930468749999992,7.6271875000000025,1.46875,5.912812500000003,7.73,30.03,68.2926,119.6,60.08,85.06625,1.6,0.0227,2.52,0.1065
PHR,Healthcare,Health Information Services,0.613324,4.92,{},-10.318,4.939,1488582144,-0.79,-37.36709,0.04147,0.94677,-162435008,{},6,-2.96,493820,441341,1663974528,2.894,5.546,-144275008,-0.47868,-36703248,0.6227,171643000,-70149000,-0.54366,-0.53893,2.443,-0.25195,-0.50381,0.323,5.709,2.791,14620000,301400992,{},{},{},{},{},{},{},{},{},{},{},31.1898,40.0,21.67,30.8768,{},{},{},0
