Bar Time,Date,Open,High,Low,Close,Adj Close,Volume,rsi,ema_9,ema_15,ema_120,Target
0,2015-01-02,26.6299991607666,26.790000915527344,26.393999099731445,26.477500915527344,26.477500915527344,26480000,,,,,2.0
1,2015-01-05,26.357500076293945,26.399499893188477,25.887500762939453,25.972999572753906,25.972999572753906,41182000,,,,,2.0
2,2015-01-06,26.024999618530273,26.06049919128418,25.27750015258789,25.332000732421875,25.332000732421875,54456000,,,,,0.0
3,2015-01-07,25.547500610351562,25.574499130249023,25.1825008392334,25.25749969482422,25.25749969482422,46918000,,,,,1.0
4,2015-01-08,25.07550048828125,25.375,24.750999450683594,25.345500946044922,25.345500946044922,73054000,,25.677100372314452,,,1.0
5,2015-01-09,25.409000396728516,25.43000030517578,24.9325008392334,25.035999298095703,25.035999298095703,42000000,,25.463400014241536,,,1.0
6,2015-01-12,24.961999893188477,25.013999938964844,24.545499801635742,24.85300064086914,24.85300064086914,57138000,,25.259933556450736,,,1.0
7,2015-01-13,25.12849998474121,25.43000030517578,24.863000869750977,25.09000015258789,25.09000015258789,60958000,,25.203289088496454,,,1.0
8,2015-01-14,25.020999908447266,25.413000106811523,24.908000946044922,25.296499252319336,25.296499252319336,52800000,,25.234359143104083,,,1.0
9,2015-01-15,25.444499969482422,25.487499237060547,25.100500106811523,25.20050048828125,25.20050048828125,51068000,,25.223072924829804,25.38615016937256,,1.0
10,2015-01-16,25.157499313354492,25.542499542236328,25.154499053955078,25.523000717163086,25.523000717163086,49658000,,25.323048855607563,25.411032087152655,,1.0
11,2015-01-20,25.638500213623047,25.780500411987305,25.4685001373291,25.496999740600586,25.496999740600586,46796000,,25.381032483938572,25.426662569597735,,1.0
12,2015-01-21,25.54199981689453,26.092500686645508,25.47949981689453,26.019500732421875,26.019500732421875,46356000,,25.593855233433008,25.53445132647485,,0.0
13,2015-01-22,26.149999618530273,26.941999435424805,26.095500946044922,26.864999771118164,26.864999771118164,56068000,,26.01757007932806,25.776369225500908,,2.0
14,2015-01-23,26.901500701904297,27.27050018310547,26.787500381469727,27.09749984741211,27.09749984741211,45966000,57.2277771057762,26.37754666868941,26.016574793121126,,2.0
15,2015-01-26,27.075000762939453,27.075000762939453,26.603500366210938,26.836000442504883,26.836000442504883,30932000,53.70173487223193,26.530364593294568,26.165561274827265,,2.0
16,2015-01-27,26.56999969482422,26.638999938964844,26.042999267578125,26.059499740600586,26.059499740600586,39148000,44.86241054058643,26.373409642396574,26.146277359513324,,0.0
17,2015-01-28,26.25,26.284500122070312,25.61750030517578,25.62150001525879,25.62150001525879,35822000,40.78445842579041,26.122773100017312,26.05086329692159,,1.0
18,2015-01-29,25.645000457763672,25.75950050354004,25.173999786376953,25.661500930786133,25.661500930786133,79018000,41.30915790590702,25.969015710273585,25.980070139442418,,1.0
19,2015-01-30,25.950000762939453,27.155000686645508,25.909000396728516,26.877500534057617,26.877500534057617,121108000,54.50616998111775,26.271843984868262,26.143239302099726,,0.0
20,2015-02-02,26.715999603271484,26.825000762939453,26.086000442504883,26.610000610351562,26.610000610351562,75378000,51.749490557051445,26.384562860029362,26.228104994509152,,0.0
21,2015-02-03,26.496999740600586,26.872499465942383,26.340499877929688,26.665000915527344,26.665000915527344,47062000,52.28384832722325,26.47804221186202,26.30754061651246,,0.0
22,2015-02-04,26.656999588012695,26.837499618530273,26.25149917602539,26.30500030517578,26.30500030517578,33896000,48.49788949975089,26.420361576299943,26.30707874172397,,1.0
23,2015-02-05,26.396499633789062,26.534500122070312,26.281999588012695,26.491500854492188,26.491500854492188,33176000,50.49772848372768,26.44407466903069,26.340610034954555,,0.0
24,2015-02-06,26.550500869750977,27.01099967956543,26.4325008392334,26.694000244140625,26.694000244140625,42938000,52.647731550682686,26.527383194067337,26.404862800261114,,0.0
25,2015-02-09,26.55299949645996,26.694000244140625,26.377500534057617,26.464000701904297,26.464000701904297,30314000,49.99189416413313,26.506255696679656,26.41561514601442,,0.0
26,2015-02-10,26.607500076293945,27.049999237060547,26.458499908447266,27.007999420166016,27.007999420166016,47430000,55.685916619929486,26.673503604508443,26.523321377678347,,0.0
27,2015-02-11,26.986499786376953,27.09749984741211,26.799999237060547,26.899999618530273,26.899999618530273,38306000,54.36252566804688,26.749002275849055,26.591808330560514,,0.0
28,2015-02-12,26.982999801635742,27.41699981689453,26.850000381469727,27.300500869750977,27.300500869750977,48590000,58.31848557071522,26.93283514048303,26.720661519504233,,0.0
29,2015-02-13,27.375499725341797,27.62700080871582,27.329999923706055,27.558000564575195,27.558000564575195,47382000,60.67851651930155,27.14122361518042,26.872904982244407,26.130516942342123,0.0
30,2015-02-17,27.558000564575195,27.649999618530273,27.163000106811523,27.250499725341797,27.250499725341797,39174000,56.560025927773914,27.17764898523421,26.94155857189848,26.202773896084036,1.0
31,2015-02-18,27.19099998474121,27.377500534057617,26.977500915527344,27.13249969482422,27.13249969482422,31164000,55.0168365120164,27.162599221764214,26.97627513970316,26.262756205680176,1.0
