Quarters,Year,Quarter,FillingDate,Date,TotalAssets,CommonStockEquity,CurrentAssets,CurrentLiability,TotalLiability,Inventory,RetainedEarnings
2022Q4,2022,Q4,2022-11-30,2022-11-30,1279295332.0,774446495.0,12884616.0,2179782.0,504848837.0,0.0,-196692016.0
2022Q2,2022,Q2,2022-05-31,2022-05-31,1349944348.0,846227646.0,13150024.0,1054391.0,503716702.0,0.0,-118446027.0
2021Q4,2021,Q4,2021-11-30,2021-11-30,1484525956.0,980982116.0,12376325.0,783763.0,503543840.0,0.0,24460463.0
2021Q2,2021,Q2,2021-05-31,2021-05-31,1429026769.0,949606788.0,0.0,0.0,479419981.0,0.0,42933616.0
2020Q4,2020,Q4,2020-11-30,2020-11-30,1368014369.0,916971933.0,0.0,0.0,451042436.0,0.0,21013212.0
2020Q2,2020,Q2,2020-05-31,2020-05-31,1281076119.0,820105558.0,0.0,0.0,460970561.0,0.0,-73788891.0
2019Q4,2019,Q4,2019-11-30,2019-11-30,1357061980.0,905461098.0,0.0,0.0,451600882.0,0.0,13692619.0
2019Q2,2019,Q2,2019-05-31,2019-05-31,1306375427.0,854189657.0,0.0,0.0,452185770.0,0.0,-35511267.0
2018Q4,2018,Q4,2018-11-30,2018-11-30,1252283849.0,797434659.0,0.0,0.0,454849190.0,0.0,-91792424.0
2018Q2,2018,Q2,2018-05-31,2018-05-31,1306229890.0,855470526.0,0.0,0.0,450759364.0,0.0,-856052.0
