Quarters,Year,Quarter,FillingDate,Date,TotalAssets,CommonStockEquity,CurrentAssets,CurrentLiability,TotalLiability,Inventory,RetainedEarnings
2023Q4,2023,Q4,2023-02-28,2023-02-28,817003427.0,488979957.0,14933775.0,3247506.0,328023470.0,0.0,-40117447.0
2023Q2,2023,Q2,2022-08-31,2022-08-31,845211765.0,505666840.0,24947765.0,9574154.0,339544925.0,0.0,-23486465.0
2022Q4,2022,Q4,2022-02-28,2022-02-28,909560212.0,571897379.0,15384557.0,5321472.0,337662833.0,0.0,42743281.0
2022Q2,2022,Q2,2021-08-31,2021-08-31,946976932.0,602950130.0,0.0,0.0,344026802.0,0.0,73761634.0
2021Q4,2021,Q4,2021-02-28,2021-02-28,950624227.0,586027637.0,0.0,0.0,364596590.0,0.0,56839141.0
2021Q2,2021,Q2,2020-08-31,2020-08-31,944581946.0,584623969.0,0.0,0.0,359957977.0,0.0,55429893.0
2020Q4,2020,Q4,2020-02-29,2020-02-29,973370466.0,612019940.0,0.0,0.0,361350526.0,0.0,82825864.0
2020Q2,2020,Q2,2019-08-31,2019-08-31,949087849.0,598652188.0,0.0,0.0,350435661.0,0.0,69435033.0
2019Q4,2019,Q4,2019-02-28,2019-02-28,914757385.0,560394618.0,0.0,0.0,354362767.0,0.0,31175066.0
2019Q2,2019,Q2,2018-08-31,2018-08-31,911950695.0,557616138.0,0.0,0.0,354334557.0,0.0,-1075373.0
2018Q4,2018,Q4,2018-02-28,2018-02-28,921222480.0,555094323.0,0.0,0.0,366128157.0,0.0,-947591.0
2018Q2,2018,Q2,2017-08-31,2017-08-31,939615524.0,578843508.0,0.0,0.0,360772016.0,0.0,-1101234.0
