Year,Date,FillingDate,EnterpriseValue,bookValuePerShare,debtToAssets,roic,priceToSalesRatio,peRatio,pbRatio,payoutRatio,inventoryTurnover,dividendYield,quickRatio,priceToFreeCashFlowsRatio,grossProfitMargin,epsdilutedGrowth,Industry,Sector,Price,MarketCap,AvgVolume,Symbol,ReturnOnAssets,ReturnOnEquity,CurrentRatio,OperatingMargin,NetProfitMargin,DebtToEquity,AssetsTurnover,roicIncrease,quickRatioIncrease,ReturnOnAssetsIncrease,ReturnOnEquityIncrease,CurrentRatioIncrease,OperatingMarginIncrease,NetProfitMarginIncrease,DebtToEquityIncrease,NetIncomeGrowth,RevenueGrowth,OperatingIncomeGrowth,GrossProfitGrowth
2008,2008-06-30,2008-06-30,-262900.70668499987,0.0,0.0,0.0,2.826602891442248,-0.2896520925681611,0.0,0.0,1.6806831077184474,0.0,1.7220764551242762,-0.3963471850591034,0.0746729303799197,0.1856287555970176,Biotechnology,Healthcare,2.09,11902466,373563,IMRN,-1.5044259012859271,0.0,2.1231239521231062,-13.629673886324529,-9.75861374375222,0.0,0.15416389466681263,0.0,-1.4596333778277957,-3.196745835062239,0.0,-1.4984134679859857,7.961897384803833,5.336165441704145,0.0,0.1288840546672046,0.7763631687178412,0.1323656647536278,-0.9477868120640348
2009,2009-06-30,2009-06-30,1124993.84829,0.0,0.0,0.0,2.4320911736455884,-0.5499422508838069,0.0,0.0,1.794388644475803,0.0,0.2624430772964805,-0.6136930803817745,0.6700336957309837,0.3970588162236234,Biotechnology,Healthcare,2.09,11902466,373563,IMRN,-4.701171736348166,0.0,0.6247104841371206,-5.667776501520696,-4.422448302048075,0.0,1.0630246902312035,0.0,-1.4596333778277957,-3.196745835062239,0.0,-1.4984134679859857,7.961897384803833,5.336165441704145,0.0,0.1891040139773581,0.7893302925190506,0.2559231959633143,15.05550475493782
2010,2010-06-30,2010-06-30,451603.5558840004,0.0,0.0,0.0,5.052777838628246,-1.2245875662561845,0.0,0.0,12.204989586564452,0.0,4.700551728279019,-1.0327186960604668,0.4036891900668991,0.554878060838298,Biotechnology,Healthcare,2.09,11902466,373563,IMRN,-0.5017402091515519,0.0,5.326715981182579,-4.90263699149148,-4.12610578276213,0.0,0.1216013925885519,0.0,4.438108650982539,4.199431527196614,0.0,4.702005497045458,0.7651395100292158,0.296342519285945,0.0,0.1777567138691888,-0.11870208470870174,0.2376756989496356,-0.4690260446626382
2011,2011-06-30,2011-06-30,1454314.35696725,0.0,0.0,0.0,10.306698061552645,-0.8497018344273171,0.0,0.0,0.744726710209694,0.0,0.8454166469074276,-1.1094243036653395,-0.012572972316091,-0.1232877016613692,Biotechnology,Healthcare,2.09,11902466,373563,IMRN,-0.9755523519715512,0.0,1.2625453205092279,-13.504414562212844,-12.129782052899962,0.0,0.08042620615251023,0.0,-3.855135081371592,-0.4738121428199993,0.0,-4.064170660673351,-8.601777570721364,-8.003676270137833,0.0,-0.3617218322736772,-0.5367923098573253,-0.2759151221980861,-1.014426686688834
2012,2012-06-30,2012-06-30,1701273.4725807998,0.0,0.1538015428143911,-5.9026509451833,5.758481894873188,-1.1253993317058393,0.0,0.0,1.6964412313432835,0.0,1.6026347023663134,-1.0487148644427138,0.1899615155051535,0.1829268694609935,Biotechnology,Healthcare,2.09,11902466,373563,IMRN,-0.6314841658956992,0.0,2.157231579489682,-7.356084024480415,-5.116834293960963,0.0,0.12341305768705374,-5.9026509451833,0.7572180554588859,0.344068186075852,0.0,0.8946862589804541,6.148330537732429,7.012947758938999,0.0,0.1146969053001739,1.0986674518931905,-0.1431798131231866,32.70817843866171
2013,2013-06-30,2013-06-30,2596112.633668,0.0,0.4536331369190289,-2.8278832697589524,19.342663908837768,-0.8184698707807626,0.0,0.0,0.6625333397327337,0.0,1.1834652386679854,-1.4112105403849835,-0.2904877967346666,-0.4925369080592678,Biotechnology,Healthcare,2.09,11902466,373563,IMRN,-1.4007251550680906,0.0,1.4875894590127579,-21.643471002637643,-23.632713431938832,0.0,0.05927060212963344,3.0747676754243476,-0.4191694636983281,-0.7692409891723914,0.0,-0.6696421204769241,-14.287386978157228,-18.51587913797787,0.0,-0.5404074828510742,-0.6664788468905063,0.0186959009618616,-1.5100181722258046
2014,2014-06-30,2014-06-30,3175999.9346550014,0.0,0.0,0.0,8.923871403176006,-3.6618612071505767,0.0,0.0,0.587829110692155,0.0,7.878363894475334,-3.4944180805748264,0.6813785864374768,0.7857142599756374,Biotechnology,Healthcare,2.09,11902466,373563,IMRN,-0.33339469579396364,0.0,9.005298710516977,-2.5963039509951713,-2.436976962903513,0.0,0.13680666697675456,2.8278832697589524,6.694898655807348,1.0673304592741268,0.0,7.517709251504218,19.04716705164247,21.195736469035317,0.0,0.2810212264810686,5.9723348135287635,0.1636138019719747,17.354558411107536
2015,2015-06-30,2015-06-30,17328882.266798,0.0,0.0,0.0,20.39641280432371,-7.595216718353382,0.0,0.0,0.4443127124832172,0.0,2.7636300411488564,-6.760672433492797,0.4919082583451385,0.3959723361383681,Biotechnology,Healthcare,2.09,11902466,373563,IMRN,-0.5917845056850947,0.0,3.7498729104743296,-4.174550569644246,-2.6854286797422136,0.0,0.22036872926444753,0.0,-5.114733853326477,-0.25838980989113103,0.0,-5.255425800042647,-1.5782466186490751,-0.2484517168387006,0.0,-0.0578766383053978,-0.039996475575161235,-0.5435724535303643,-0.3069437885125714
2016,2016-06-30,2016-06-30,20896768.81435,2.585463917525773,0.2152950942760134,-1.1758531587935643,21.26399249443349,-3.011401254893534,4.308596776187248,0.0,0.3455415807635109,0.0,1.718175131421503,-4.124745908290555,0.4304304264307341,-1.5746102449888637,Biotechnology,Healthcare,2.09,11902466,373563,IMRN,-0.8007680331111333,-1.4307614334641618,2.266426562309859,-8.035447822694957,-7.061162128387727,0.7867364508862654,0.11340456691850136,-1.1758531587935643,-1.0454549097273533,-0.20898352742603865,-1.4307614334641618,-1.4834463481644704,-3.8608972530507106,-4.375733448645513,0.7867364508862654,-1.6260177129228552,-0.0012999062231888107,-0.9223632245394058,-0.12611569342843643
2017,2017-06-30,2017-06-30,25988178.381448355,2.4842417952032245,0.0441518611436372,-1.1552813152393315,21.212793310290994,-4.352817173369144,4.504573645611883,0.0,0.4003454883090847,0.0,3.367187924501845,-4.208916797992997,0.3692337112885932,0.3079584775086504,Biotechnology,Healthcare,2.09,11902466,373563,IMRN,-0.8211140276384781,-1.0348639665298134,4.830464516392892,-5.743147277927112,-4.873348102022852,0.26031699824454296,0.16849073992839672,0.020571843554232805,1.6490127930803418,-0.020345994527344757,0.39589746693434846,2.564037954083033,2.292300544767845,2.187814026364874,-0.5264194526417225,0.0374341097959516,0.3946949135780764,0.0031746240910421,0.1964032917608507
