Quarters,Year,Quarter,FillingDate,Date,TotalAssets,CommonStockEquity,CurrentAssets,CurrentLiability,TotalLiability,Inventory,RetainedEarnings
2022Q4,2022,Q4,2022-12-31,2022-12-31,315854619.0,182139782.0,51633248.0,47667690.0,133714837.0,0.0,-75113614.0
2022Q2,2022,Q2,2022-06-30,2022-06-30,302183447.0,193615786.0,10547776.0,13191981.0,108567661.0,0.0,-70195327.0
2020Q4,2020,Q4,2020-12-31,2020-12-31,332374167.0,215253028.0,0.0,0.0,117121139.0,0.0,-48933158.0
2020Q2,2020,Q2,2020-06-30,2020-06-30,342122054.0,212147079.0,0.0,0.0,129974975.0,0.0,-66998851.0
2019Q4,2019,Q4,2019-12-31,2019-12-31,386729971.0,250847528.0,0.0,0.0,135882443.0,0.0,-35979859.0
2019Q2,2019,Q2,2019-06-30,2019-06-30,398063047.0,255648568.0,0.0,0.0,142414479.0,0.0,-31115622.0
2018Q4,2018,Q4,2018-12-31,2018-12-31,394560433.0,251644558.0,0.0,0.0,142915875.0,0.0,-34998024.0
2018Q2,2018,Q2,2018-06-30,2018-06-30,442219787.0,268998099.0,0.0,0.0,173221688.0,0.0,4379444.0
2017Q4,2017,Q4,2017-12-31,2017-12-31,455872371.0,267903096.0,0.0,0.0,187969275.0,0.0,2237934.0
2017Q2,2017,Q2,2017-06-30,2017-06-30,442323061.0,269241584.0,0.0,0.0,173081477.0,0.0,4904764.0
2016Q4,2016,Q4,2016-12-31,2016-12-31,427534570.0,268153488.0,0.0,0.0,159381082.0,0.0,2224258.0
2016Q2,2016,Q2,2016-06-30,2016-06-30,402487300.0,253968934.0,0.0,0.0,148518366.0,0.0,3454291.0
