Symbol,Year,Date,FillingDate,EnterpriseValue,bookValuePerShare,debtToAssets,roic,priceToSalesRatio,peRatio,pbRatio,payoutRatio,inventoryTurnover,dividendYield,quickRatio,priceToFreeCashFlowsRatio,grossProfitMargin,epsdilutedGrowth,Industry,Sector,Price,MarketCap,AvgVolume,ReturnOnAssets,ReturnOnEquity,CurrentRatio,OperatingMargin,NetProfitMargin,DebtToEquity,AssetsTurnover,roicIncrease,quickRatioIncrease,ReturnOnAssetsIncrease,ReturnOnEquityIncrease,CurrentRatioIncrease,OperatingMarginIncrease,NetProfitMarginIncrease,DebtToEquityIncrease,NetIncomeGrowth,RevenueGrowth,OperatingIncomeGrowth,GrossProfitGrowth
A,2012,2012-10-31,2012-12-20,8968520000.0,14.89080459770115,0.2241837509491268,0.1639734014268735,1.3061417322834643,7.768881179531657,1.7285835584716325,0.0901994796183868,3.209072978303748,0.0116103564379426,1.7295298468040148,8.662978723404255,0.5255176436278799,0.1473684210526315,Diagnostics & Research,Healthcare,118.36,34960703360,2023500,0.1094343204252088,0.2225009648784253,2.445324881141046,0.163167104111986,0.1681248177311169,1.0326128907757623,0.6509111617312073,0.0022231802584596,-0.6586029784545588,-0.0023024577574123,-0.0124108271364307,-0.5862483360609136,0.001262342207224,0.0151391790311925,-0.0678977870329655,0.1393280632411067,0.036734693877551,0.0448179271708683,0.0212524794559365
AACG,2012,2012-03-31,2012-03-31,-52718424.14046788,16.010530656325255,0.0,0.140033741189552,0.5806806500656605,3.661244445383192,0.5579725481482889,1.1395603661579825,424.2138804750229,0.3112494626232787,3.7227296121520608,3.787134319982409,0.5489220262256709,1.7045454545454546,Education & Training Services,Consumer Defensive,1.41,44536119,12793,0.1212047547469095,0.1523996981004338,3.89905451470106,0.1831543134004132,0.1586019886757071,0.2573739241390594,0.764207030182556,0.0908880679062985,-0.94919119841866,0.0758398438235061,0.0981398145088577,-0.9267821631057132,0.1144081797759158,0.0936011058799333,0.061297871367973,1.8268413875943,0.1585427600972072,2.086604185329921,0.2494050607366242
AADI,2012,2012-12-31,2013-03-28,162585603.0,-0.0529410102351179,20.96953250277538,-0.3167515008259579,0.0,-5974.626080559132,-1700.0053380224197,0.0,0.0,0.0,0.0444485180611299,-7132.13937557634,0.0,-0.2138870283545435,Biotechnology,Healthcare,6.35,155174950,119009,-3.353274947576169,0.2845375283909526,0.0782166563754245,0.0,0.0,-1.779340806564721,0.0,0.0789917841385373,-0.0106978035121111,0.0271024109143969,-0.0439505025876909,-0.0103516782725079,0.0,0.0,-0.0191906070810317,-0.2138870283545434,4.095809523809524,-0.1499829343215173,0.0
AAIC,2012,2012-12-31,2013-02-08,105468850.0,45.5811856932876,0.007231850225489,0.0,4.373330788594066,1.1049484949902515,0.4556704632424391,0.2442213255763035,0.0,0.2210250764479824,0.0,8.255417721518988,0.0,8.556122448979592,REIT—Mortgage,Real Estate,4.57,129607028,336629,0.0924837934236446,0.4123906818357712,0.0,0.0,3.957949903024801,3.4590588963702498,0.0233665902019036,0.0,0.0,0.0765968334420728,0.3296463151930995,0.0,0.0,3.466230033951333,-0.7492608034748738,11.64258880906874,0.5706646790031435,0.0,0.0
AAL,2012,2012-12-31,2013-02-20,9744153750.0,-63.83344322563888,0.3630370055295618,0.3948295841854124,0.0679603198551599,-0.9004017857142858,-0.2114878865656692,0.0,35.2051724137931,0.0,0.5391229578675838,-2.80125,0.1784751559042446,0.0530638029058749,Airlines,Industrials,18.57,12123665464,25640855,-0.0797958315610378,0.2348816827344434,0.7601031814273431,0.0198752766043049,-0.0754777710722188,-1.0686114936772255,1.0572096980008507,0.938837884139256,-0.0290114569643976,0.0031880664597605,-0.0434195407221731,-0.0228632148646614,0.0335956152339392,0.0070527764902316,0.0873440681284276,0.0520464881253158,0.036531965469786,2.501519756838906,-0.6392616085224039
AAMC,2012,2012-12-31,2012-12-31,87129466.0,2.1210193012756418,0.0,-0.0271629778672032,0.0,-4177.031869565217,38.66065714285714,0.0,0.0,0.0,112.82119914346896,-2784.687913043478,0.0,0.0,Asset Management,Financial Services,56.405,99183680,23170,-0.000434720975287,-0.0092555331991951,113.29229122055676,0.0,0.0,0.1879275653923541,0.0,4.485518415532986,-112.57503202728418,-0.0033322599741657,-0.6927338567212292,-113.02951834455024,0.469431643625192,-0.0739142577852255,80.9973509491965,0.0,0.3361339214853296,0.0,0.0
AAME,2012,2012-12-31,2013-03-27,87862980.0,4.982376778814438,0.4598913782912712,0.0301822090982078,0.4689760276911634,14.782682596934174,0.6201859347809638,0.5637962128043282,0.0,0.0381389649075774,0.254324480369515,11.028587285570133,1.0,0.5,Insurance—Life,Financial Services,1.9,38697680,4303,0.0494708316140472,0.0419535446773095,0.1094168591224018,0.0363446520010298,0.0317246903338387,2.0280793674812743,1.559379495700855,0.0301822090982078,0.0746525484132573,0.003991152321816,0.0077813124723176,-0.0198966281193964,0.0363446520010298,0.003921560157724,-0.1100013786990179,0.3483282674772036,0.1816583848832099,0.0,0.1816583848832099
AAN,2012,2012-12-31,2013-02-22,2156183600.0,14.984515958849908,0.0707418768192245,0.1400202148198955,0.964726526013818,12.391079673838297,1.8872815163106909,0.0337661737256057,0.4263977503638232,0.0027250388678314,0.8529416691093338,-403.11893213009967,0.8150462433883383,0.5734265734265735,Rental & Leasing Services,Industrials,13.78,425921886,321749,0.0954494081125074,0.1523096910025824,5.260453917340145,0.127440173347467,0.0778565348143695,0.5957112151293078,1.2259652749776742,0.0450337793870897,0.2546341126366798,0.0298832809384146,0.0358112690003173,3.236439605312817,0.0345145574162321,0.0216489034773811,-0.181096826207884,0.5210298241141983,0.098090016595448,0.5059440894059101,0.0995080015003951
AAOI,2012,2012-12-31,2012-12-31,97327951.36,3.700143289862696,0.3739125144491087,0.0032198877536336,1.3160775036659784,-88.32481625396827,2.691787647058824,0.0,3.561354358440727,0.0,0.988466200101654,-22.28757045660881,0.2984658078554422,0.8152248042222813,Semiconductors,Technology,8.34,243492138,1322227,-0.0143730607775141,-0.0304760061919504,1.5344254603745553,0.0028224089812522,-0.0149004273032591,1.1203560371517027,0.9646072884346292,0.0895092598794395,0.5133937753896686,0.084802338958167,0.2272140692578464,0.5987992392602253,0.0808742484461352,0.0964708101549348,-0.4779705250460144,0.8226351351351351,0.3256897993311037,1.0479378682378149,0.415569847442417
AAON,2012,2012-12-31,2013-03-14,509196431.25,2.5007648789318853,0.0,0.1983378089625612,1.6903060605910645,18.66572302269664,3.70906520566688,0.3220518051659441,7.132366468387809,0.0172536474892692,1.3551798107255522,13.8399630267423,0.2325824607243479,0.96,Building Products & Equipment,Industrials,95.18,5163771986,318708,0.1418604290594491,0.1987099669890542,2.310309148264984,0.1459318936109846,0.0905566882427073,0.4007427462790293,1.5665372907547044,0.0757054987140939,0.2128581005903644,0.0637180564053685,0.0845422663425447,0.1290337844476812,0.0558898231429507,0.0380211912853037,-0.0602789346456751,0.9626054626054626,0.1385846292540004,0.8453130866463644,0.5232816922711264
