Year,TotalAssets,CommonStockEquity,CurrentAssets,CurrentLiability,TotalLiability,Inventory,RetainedEarnings,EnterpriseValue,bookValuePerShare,currentRatio,debtToAssets,debtToEquity,roic,shareholdersEquityPerShare,roe,priceToSalesRatio,peRatio,pbRatio,payoutRatio,inventoryTurnover,dividendYield,assetTurnover,quickRatio,returnOnAssets,priceToFreeCashFlowsRatio,grossProfitMargin,epsdilutedGrowth,fiveYNetIncomeGrowthPerShare,fiveYRevenueGrowthPerShare,fiveYShareholdersEquityGrowthPerShare,grossProfitGrowth,netIncomeGrowth,operatingIncomeGrowth,threeYNetIncomeGrowthPerShare,threeYRevenueGrowthPerShare,threeYShareholdersEquityGrowthPerShare,Industry,Sector,Price,MarketCap,AvgVolume,Symbol
2022,778174.0,-5551150.0,727596.0,1334477.0,6329324.0,0.0,-6714329.0,608120.0,0.0,0.5452293295425849,0.82334542146101,-0.11541860695531557,,0.0,,0.0,0.0,0.0,0.0,0.0,,,0.024418554984462076,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Biotechnology,Healthcare,,0,0,CVKD
TTM,,,,,,,,,0.3773742995237964,11.052995879343184,0.008551640494200886,0.009428420603641291,-1.488639425710386,0.3773742995237964,8.817997278025889,0.0,0.0,0.0,0.0,0.0,,0.0,10.029920201177687,-1.6410787530030808,0.0,0.0,,,,,,,,,,,Biotechnology,Healthcare,,0,0,CVKD
