Quarters,Year,Quarter,FillingDate,Date,TotalAssets,CommonStockEquity,CurrentAssets,CurrentLiability,TotalLiability,Inventory,RetainedEarnings
2022Q4,2022,Q4,2022-12-31,2022-12-31,1414048330.0,959693727.0,11748456.0,1810187.0,454354603.0,0.0,147406838.0
2022Q2,2022,Q2,2022-06-30,2022-06-30,1554144564.0,1094212891.0,11809224.0,3960175.0,459931673.0,0.0,284904396.0
2021Q4,2021,Q4,2021-12-31,2021-12-31,1820207303.0,1391638907.0,16295971.0,825375.0,428568396.0,0.0,582436012.0
2021Q2,2021,Q2,2021-06-30,2021-06-30,1714320889.0,1276825252.0,0.0,0.0,437495637.0,0.0,468089643.0
2020Q4,2020,Q4,2020-12-31,2020-12-31,1527346548.0,1123686877.0,0.0,0.0,403659671.0,0.0,315164874.0
2020Q2,2020,Q2,2020-06-30,2020-06-30,1364467790.0,1009356017.0,0.0,0.0,355111773.0,0.0,202956973.0
2019Q4,2019,Q4,2019-12-31,2019-12-31,1530688006.0,1176519423.0,0.0,0.0,354168583.0,0.0,370120379.0
2019Q2,2019,Q2,2019-06-30,2019-06-30,1469159380.0,1106092363.0,0.0,0.0,363067017.0,0.0,301242449.0
2018Q4,2018,Q4,2018-12-31,2018-12-31,1302466361.0,950320039.0,0.0,0.0,352146322.0,0.0,145470125.0
2018Q2,2018,Q2,2018-06-30,2018-06-30,1385521574.0,1034268910.0,0.0,0.0,351252664.0,0.0,-11270857.0
