Quarters,Year,Quarter,FillingDate,Date,TotalAssets,CommonStockEquity,CurrentAssets,CurrentLiability,TotalLiability,Inventory,RetainedEarnings
2023Q4,2023,Q4,2023-02-28,2023-02-28,622164831.0,378021187.0,7870707.0,1327024.0,244143644.0,0.0,-57927949.0
2023Q2,2023,Q2,2022-08-31,2022-08-31,673503061.0,389618474.0,19160513.0,3259925.0,283884587.0,0.0,-46387687.0
2022Q4,2022,Q4,2022-02-28,2022-02-28,728171347.0,452687069.0,22386805.0,12739802.0,275484278.0,0.0,16678897.0
2021Q4,2021,Q4,2021-02-28,2021-02-28,741027942.0,473213769.0,0.0,0.0,267814173.0,0.0,37174019.0
2021Q2,2021,Q2,2020-08-31,2020-08-31,734725103.0,471465699.0,0.0,0.0,263259404.0,0.0,35389087.0
2020Q4,2020,Q4,2020-02-29,2020-02-29,767376267.0,494882908.0,0.0,0.0,272493359.0,0.0,58806296.0
2020Q2,2020,Q2,2019-08-31,2019-08-31,762471862.0,485028635.0,0.0,0.0,277443227.0,0.0,48925977.0
2019Q4,2019,Q4,2019-02-28,2019-02-28,725890137.0,453180238.0,0.0,0.0,272709899.0,0.0,17069593.0
2019Q2,2019,Q2,2018-08-31,2018-08-31,718950713.0,454820977.0,0.0,0.0,264129736.0,0.0,70932.0
2018Q4,2018,Q4,2018-02-28,2018-02-28,710727200.0,455374571.0,0.0,0.0,255352629.0,0.0,-479302.0
2018Q2,2018,Q2,2017-08-31,2017-08-31,741554963.0,474456313.0,0.0,0.0,267098650.0,0.0,48484.0
