Quarters,Year,Quarter,FillingDate,Date,TotalAssets,CommonStockEquity,CurrentAssets,CurrentLiability,TotalLiability,Inventory,RetainedEarnings
2023Q4,2023,Q4,2023-02-28,2023-02-28,190383102.0,185219626.0,6161496.0,5003276.0,5163476.0,0.0,-34452676.0
2023Q2,2023,Q2,2022-08-31,2022-08-31,190790190.0,190093993.0,2792850.0,537467.0,696197.0,0.0,-29581024.0
2022Q4,2022,Q4,2022-02-28,2022-02-28,218152824.0,215871025.0,4465469.0,2095369.0,2281799.0,0.0,-3803992.0
2021Q4,2021,Q4,2021-02-28,2021-02-28,241755220.0,237590853.0,0.0,0.0,4164367.0,0.0,17915863.0
2021Q2,2021,Q2,2020-08-31,2020-08-31,246645689.0,242307608.0,0.0,0.0,4338081.0,0.0,23247168.0
2020Q4,2020,Q4,2020-02-29,2020-02-29,241320234.0,239765868.0,0.0,0.0,1554366.0,0.0,20705428.0
2020Q2,2020,Q2,2019-08-31,2019-08-31,238618697.0,236474732.0,0.0,0.0,2143965.0,0.0,17611572.0
2019Q4,2019,Q4,2019-02-28,2019-02-28,221522147.0,216912584.0,0.0,0.0,4609563.0,0.0,-1950576.0
2019Q2,2019,Q2,2018-08-31,2018-08-31,219973670.0,219282964.0,0.0,0.0,690706.0,0.0,-317850.0
2018Q4,2018,Q4,2018-02-28,2018-02-28,229984778.0,223433138.0,0.0,0.0,6551640.0,0.0,-267479.0
2018Q2,2018,Q2,2017-08-31,2017-08-31,233542475.0,233156965.0,0.0,0.0,385510.0,0.0,-385966.0
