Quarters,Year,Quarter,FillingDate,Date,TotalAssets,CommonStockEquity,CurrentAssets,CurrentLiability,TotalLiability,Inventory,RetainedEarnings
2023Q4,2023,Q4,2023-03-31,2023-03-31,272393151.0,185457326.0,10859328.0,7550284.0,86935825.0,0.0,0.0
2023Q2,2023,Q2,2022-09-30,2022-09-30,258937617.0,175556840.0,8855167.0,2313445.0,83380777.0,0.0,-102020905.0
2022Q4,2022,Q4,2022-03-31,2022-03-31,324390034.0,221624013.0,8188422.0,6188053.0,102766021.0,0.0,0.0
2021Q4,2021,Q4,2021-03-31,2021-03-31,344761751.0,239727402.0,0.0,0.0,105034349.0,0.0,0.0
2021Q2,2021,Q2,2020-09-30,2020-09-30,323952223.0,224826322.0,0.0,0.0,99125901.0,0.0,0.0
2020Q4,2020,Q4,2020-03-31,2020-03-31,280840283.0,188270495.0,0.0,0.0,92569788.0,0.0,0.0
2020Q2,2020,Q2,2019-09-30,2019-09-30,358237420.0,243297475.0,0.0,0.0,114939945.0,0.0,0.0
2019Q4,2019,Q4,2019-03-31,2019-03-31,362622792.0,241186301.0,0.0,0.0,121436491.0,0.0,0.0
2019Q2,2019,Q2,2018-09-30,2018-09-30,368930044.0,247611858.0,0.0,0.0,121318186.0,0.0,-29870629.0
2018Q4,2018,Q4,2018-03-31,2018-03-31,378948677.0,248890360.0,0.0,0.0,130058317.0,0.0,-360627.0
2018Q2,2018,Q2,2017-09-30,2017-09-30,385898785.0,260433171.0,0.0,0.0,125465614.0,0.0,-2121486.0
