10  iterations done, current top 3 results are  []
20  iterations done, current top 3 results are  []
30  iterations done, current top 3 results are  []
40  iterations done, current top 3 results are  []
50  iterations done, current top 3 results are  []
60  iterations done, current top 3 results are  []
70  iterations done, current top 3 results are  []
80  iterations done, current top 3 results are  []
90  iterations done, current top 3 results are  []
100  iterations done, current top 3 results are  []
110  iterations done, current top 3 results are  []
120  iterations done, current top 3 results are  []
130  iterations done, current top 3 results are  []
140  iterations done, current top 3 results are  []
150  iterations done, current top 3 results are  []
160  iterations done, current top 3 results are  []
170  iterations done, current top 3 results are  []
180  iterations done, current top 3 results are  []
190  iterations done, current top 3 results are  []
200  iterations done, current top 3 results are  []
210  iterations done, current top 3 results are  []
220  iterations done, current top 3 results are  []
230  iterations done, current top 3 results are  []
240  iterations done, current top 3 results are  []
250  iterations done, current top 3 results are  []
260  iterations done, current top 3 results are  []
270  iterations done, current top 3 results are  []
280  iterations done, current top 3 results are  []
290  iterations done, current top 3 results are  []
300  iterations done, current top 3 results are  []
310  iterations done, current top 3 results are  []
320  iterations done, current top 3 results are  []
330  iterations done, current top 3 results are  []
340  iterations done, current top 3 results are  []
350  iterations done, current top 3 results are  []
360  iterations done, current top 3 results are  []
370  iterations done, current top 3 results are  []
380  iterations done, current top 3 results are  []
390  iterations done, current top 3 results are  []
400  iterations done, current top 3 results are  []
410  iterations done, current top 3 results are  []
420  iterations done, current top 3 results are  []
430  iterations done, current top 3 results are  []
440  iterations done, current top 3 results are  []
450  iterations done, current top 3 results are  []
460  iterations done, current top 3 results are  []
470  iterations done, current top 3 results are  []
480  iterations done, current top 3 results are  []
490  iterations done, current top 3 results are  []
500  iterations done, current top 3 results are  []
510  iterations done, current top 3 results are  []
520  iterations done, current top 3 results are  []
530  iterations done, current top 3 results are  []
540  iterations done, current top 3 results are  []
550  iterations done, current top 3 results are  []
560  iterations done, current top 3 results are  []
570  iterations done, current top 3 results are  []
580  iterations done, current top 3 results are  []
590  iterations done, current top 3 results are  []
600  iterations done, current top 3 results are  []
610  iterations done, current top 3 results are  []
620  iterations done, current top 3 results are  []
630  iterations done, current top 3 results are  []
