Quarters,Year,Quarter,FillingDate,Date,TotalAssets,CommonStockEquity,CurrentAssets,CurrentLiability,TotalLiability,Inventory,RetainedEarnings
2023Q2,2023,Q2,2023-03-31,2023-03-31,319890401.0,194212924.0,3864853.0,2078766.0,125677477.0,0.0,-33912595.0
2022Q4,2022,Q4,2022-09-30,2022-09-30,321699087.0,178045976.0,17248814.0,6380822.0,143653111.0,0.0,-50079543.0
2022Q2,2022,Q2,2022-03-31,2022-03-31,332886094.0,214629466.0,6352344.0,231910.0,118256628.0,0.0,-14991906.0
2021Q4,2021,Q4,2021-09-30,2021-09-30,368539143.0,240447613.0,4994212.0,221390.0,128091530.0,0.0,10826241.0
2021Q2,2021,Q2,2021-03-31,2021-03-31,390992392.0,240435215.0,10190115.0,273401.0,150557177.0,0.0,10607114.0
2020Q4,2020,Q4,2020-09-30,2020-09-30,393245076.0,240042025.0,4819727.0,370967.0,153203051.0,0.0,10213924.0
2020Q2,2020,Q2,2020-03-31,2020-03-31,412592206.0,234310855.0,34571454.0,20722915.0,178281351.0,0.0,4482754.0
2019Q4,2019,Q4,2019-09-30,2019-09-30,399836427.0,244318753.0,4747530.0,900802.0,155517674.0,0.0,14490652.0
2019Q2,2019,Q2,2019-03-31,2019-03-31,384132259.0,237910901.0,11632195.0,900595.0,146221358.0,0.0,1368406.0
2018Q4,2018,Q4,2018-09-30,2018-09-30,346810315.0,199928860.0,4625562.0,887198.0,146881455.0,0.0,-4440327.0
2018Q2,2018,Q2,2018-03-31,2018-03-31,352855641.0,204183420.0,7447552.0,762289.0,148672221.0,0.0,516683.0
2017Q4,2017,Q4,2017-09-30,2017-09-30,362109155.0,213184766.0,5292744.0,640855.0,148924389.0,0.0,793861.0
2017Q2,2017,Q2,2017-03-31,2017-03-31,355333784.0,210294609.0,4728143.0,548789.0,145039175.0,0.0,1057341.0
2016Q4,2016,Q4,2016-09-30,2016-09-30,368541305.0,223809748.0,4724336.0,465429.0,144731557.0,0.0,1121098.0
2016Q2,2016,Q2,2016-03-31,2016-03-31,365730424.0,223357390.0,6800936.0,214854.0,142373034.0,0.0,1750184.0
2015Q4,2015,Q4,2015-09-30,2015-09-30,354232883.0,218281977.0,7683533.0,220663.0,135950906.0,0.0,1878214.0
2015Q2,2015,Q2,2015-03-31,2015-03-31,364717435.0,221168569.0,4412106.0,212784.0,143548866.0,0.0,1938031.0
2014Q4,2014,Q4,2014-09-30,2014-09-30,377754741.0,220190034.0,13622463.0,3317992.0,157564707.0,0.0,1851579.0
2014Q2,2014,Q2,2014-03-31,2014-03-31,352395563.0,208245678.0,4797886.0,211591.0,144149885.0,0.0,1569766.0
2013Q4,2013,Q4,2013-09-30,2013-09-30,345656290.0,202452469.0,7934734.0,226399.0,143203821.0,0.0,969655.0
2013Q2,2013,Q2,2013-03-31,2013-03-31,368183010.0,225309763.0,4524576.0,269926.0,142873247.0,0.0,641901.0
2012Q4,2012,Q4,2012-09-30,2012-09-30,360588999.0,229792487.0,4205865.0,627633.0,130796512.0,0.0,-30009316.0
2012Q2,2012,Q2,2012-03-31,2012-03-31,366544799.0,217351468.0,14293852.0,13124233.0,149193331.0,0.0,-32917510.0
2011Q4,2011,Q4,2011-09-30,2011-09-30,355160555.0,209003178.0,9323807.0,420379.0,146157377.0,0.0,-32506814.0
2011Q2,2011,Q2,2011-03-31,2011-03-31,332732244.0,187775807.0,16582248.0,1338313.0,144956437.0,0.0,-25277324.0
