Quarters,Year,Quarter,FillingDate,Date,TotalAssets,CommonStockEquity,CurrentAssets,CurrentLiability,TotalLiability,Inventory,RetainedEarnings
2022Q4,2022,Q4,2022-12-31,2022-12-31,3295614107.0,2334372034.0,14908086.0,5412167.0,961242073.0,0.0,591894360.0
2022Q2,2022,Q2,2022-06-30,2022-06-30,3427973221.0,2435786994.0,57911328.0,30873378.0,992186227.0,0.0,705243609.0
2021Q4,2021,Q4,2021-12-31,2021-12-31,3642758871.0,2685304777.0,10494781.0,1760458.0,957454094.0,0.0,964077052.0
2021Q2,2021,Q2,2021-06-30,2021-06-30,3474157621.0,2498168510.0,0.0,0.0,975989111.0,0.0,811720852.0
2020Q4,2020,Q4,2020-12-31,2020-12-31,3198878172.0,2304177306.0,0.0,0.0,894700866.0,0.0,620983703.0
2020Q2,2020,Q2,2020-06-30,2020-06-30,2981559658.0,2117604791.0,0.0,0.0,863954867.0,0.0,436302301.0
2019Q4,2019,Q4,2019-12-31,2019-12-31,3458013624.0,2593620539.0,0.0,0.0,864393085.0,0.0,912318049.0
2019Q2,2019,Q2,2019-06-30,2019-06-30,3161036166.0,2265923426.0,0.0,0.0,895112740.0,0.0,788221226.0
2018Q4,2018,Q4,2018-12-31,2018-12-31,2758588398.0,1883849405.0,0.0,0.0,874738993.0,0.0,406147205.0
2018Q2,2018,Q2,2018-06-30,2018-06-30,2902508049.0,2048108680.0,0.0,0.0,854399369.0,0.0,-49988928.0
