Symbol,Year,Quarter,Quarters,FillingDate,Date,MarketCap,EnterpriseValue,bookValuePerShare,debtToAssets,roic,priceToSalesRatio,peRatio,pbRatio,payoutRatio,inventoryTurnover,dividendYield,quickRatio,priceToFreeCashFlowsRatio,grossProfitMargin,epsdilutedGrowth,Industry,Sector,ReturnOnAssets,ReturnOnEquity,CurrentRatio,OperatingMargin,NetProfitMargin,DebtToEquity,AssetsTurnover,roicIncrease,quickRatioIncrease,ReturnOnAssetsIncrease,ReturnOnEquityIncrease,CurrentRatioIncrease,OperatingMarginIncrease,NetProfitMarginIncrease,DebtToEquityIncrease,NetIncomeGrowth,RevenueGrowth,OperatingIncomeGrowth,GrossProfitGrowth
A,2013,Q3,2013Q3,2013-09-06,2013-07-31,10848000000.0,11219000000.0,14.12094395280236,0.2627943179606927,0.0249758103531688,6.566585956416465,16.142857142857142,2.266137455608941,0.244047619047619,0.7552182163187856,0.0037794985250737,2.067741935483871,66.96296296296296,0.5181598062953995,0.0208333333333333,Diagnostics & Research,Healthcare,0.0163455925277291,0.0350950490912889,2.9574193548387098,0.1428571428571428,0.1016949152542373,1.1464382703154377,0.1607316598560031,0.0016660913118221,0.267427470075066,0.0006659854624604,0.0038038144070287,0.4322621221343072,0.0198779280765423,0.0058519591341449,0.1513393070732133,0.0120481927710843,-0.046189376443418,0.107981220657277,-0.0392817059483726
AACG,2013,Q3,2013Q3,2013-09-30,2013-09-30,140458075.59196043,-144182393.40803957,16.93274871681416,0.0,-0.0138219140541372,3.115095750851389,-8.12830064638181,0.3670378153558711,-2.068734922450617,0.0,0.1116348756708863,5.052783469508698,0.0,0.4873931483233265,-1.4523809523809523,Education & Training Services,Consumer Defensive,-0.0095075843936843,-0.0112888853194441,5.112484730774874,-0.1035616970509468,-0.0958101787314555,0.1873557837617596,0.0992335524217415,-0.0360832377205674,1.626045331762958,-0.0288551336726738,-0.0356940053898594,1.195499061876268,-0.2027175150742993,-0.1980040625784379,-0.0740504914463415,-1.4591595974858222,-0.5102472076144051,-1.5115144156538258,-0.5428034493473431
AADI,2013,Q3,2013Q3,2013-11-14,2013-09-30,162420210.0,162629915.0,-0.06344210489569,14.996591683708248,-0.0424138453956098,0.0,-6614.277976869197,-1418.6162351954722,0.0,0.0,0.0,0.0797061055109087,-19990.17969230769,0.0,0.0903837605571195,Biotechnology,Healthcare,-0.4184730743012951,0.0536194668623135,0.0797061055109087,0.0,0.0,-1.9215316353981065,0.0,0.0064544627541837,-0.0655929723684504,-0.0520778517171475,-0.0086676871620327,-0.0655929723684503,0.0,0.0,0.1088689995635463,0.0903837605571195,1.1502256688051344,0.1798020527859237,0.0
AAIC,2013,Q3,2013Q3,2013-11-01,2013-09-30,396388836.669,356172836.669,31.77473153758474,0.0180172145476395,0.0,41.37238666830184,32.039188220902034,0.7483934513143511,4.731005496281927,0.0,0.0369157722073266,0.0,26.700042884884816,0.0,-0.0526315789473684,REIT—Mortgage,Real Estate,0.0013931811148962,0.0058396723892812,0.0,0.0,0.3228264273040392,3.191610356214352,0.0043155733145233,0.0,0.0,9.483510365175444e-05,-6.866513698621565e-05,0.0,0.0,-0.0074051690565893,-0.3590544704941458,-0.0316217908578584,-0.0094086021505376,0.0,0.0
AAL,2013,Q3,2013Q3,2013-10-17,2013-09-30,4734671990.281,14584671990.281,-31.72365739090738,0.3945855115758028,0.0609014908512294,0.6934200337259813,4.095737015814014,-0.5976611954406715,0.0,7.399412628487519,0.0,0.8024361259655377,-8.177326408084628,0.2620093731693029,0.291139240506329,Airlines,Industrials,0.0107916355489171,-0.0364806866952789,1.014161220043573,0.1022261277094317,0.0423257176332747,-1.3338803332491795,0.2549663928304705,-0.0668963695366363,0.0914041642071723,0.0023998137606961,-0.0097036662473724,0.1110775196030443,0.0264004182971197,0.008211901537756,-0.1555697198119838,0.3136363636363636,0.0587688013645526,0.4274028629856851,0.1424010217113665
AAMC,2013,Q3,2013Q3,2013-10-22,2013-09-30,1251505320.0,1149445320.0,1.4995485596497504,0.0,3.1192842942345926,63.90121623691601,-122.36070786077434,355.4403067310423,0.0,0.0,0.0,0.3141651562386718,-212.8410408163265,0.8802655093183559,-0.7031250000000001,Asset Management,Financial Services,-0.0033061805016808,-0.7262141437091735,0.3325251939389545,0.5607863160582078,-0.1305591013530763,97.93382561772223,0.0253232479958624,2.219106041115163,-68.72258417151752,0.0002542288860189,-0.34449782081638,-75.1951114956338,0.1628799675665374,0.0381712003128399,97.08152105953532,-0.7058038692461641,1.2045249887438092,2.106930693069307,1.2559539387594871
AAME,2013,Q3,2013Q3,2013-11-13,2013-09-30,90449998.65,94435998.65,4.34462693051682,0.3985541563173511,0.0193826481904706,2.091474521932157,8.437499874067164,0.9321859079666082,0.0,0.0,0.0,0.3955877437325905,10.314744970920286,1.0,-0.5384615384615385,Insurance—Life,Financial Services,0.0259014777372932,0.0276203236112542,0.2075320334261838,0.0621777233102874,0.0619696163895761,2.274193548387097,0.417970599889822,-0.0231933420942027,-0.087649825328183,-0.0245304941020351,-0.0327359403765124,-0.0526723864633189,-0.0736178330416208,-0.0715190057211566,0.0243429200135767,-0.5503355704697986,-0.0313787851639491,-0.5564901863763814,-0.0313787851639491
AAN,2013,Q3,2013Q3,2013-11-01,2013-09-30,2107997700.0,1939854700.0,16.29947044059868,0.0735866483162023,0.0160792386584988,3.907621538655466,24.931375957990348,1.699441715051362,0.1223389156968492,0.0920567712176916,0.0012267565567078,1.461631103962475,18.325634182387205,0.8466887134864994,-0.1764705882352941,Rental & Leasing Services,Industrials,0.0110238380458528,0.0170411945766144,5.293406175470846,0.0573112271947028,0.0391837733428737,0.5458495041139756,0.2813368163752339,-0.0036862785891236,0.2599773331954629,-0.0027634030767508,-0.0042285746101093,-0.5588572669976664,-0.0185767133339315,-0.00764775343663,0.0031355559367225,-0.182408911580413,-0.0228343090656155,-0.2620360424871703,-0.0227541143546689
AAOI,2013,Q3,2013Q3,2013-09-30,2013-09-30,89950000.0,112378000.0,3.4843802112284603,0.3918271130192008,0.0104754889925525,4.3315997303284215,57.66025641025641,2.869950864654457,0.0,0.8796662809816698,0.0,0.8129712417428439,-15.780701754385966,0.30439179427911,2.787869306753676,Semiconductors,Technology,0.0051360391919298,0.0124433667283517,1.5208180423033295,0.0308196089762111,0.0187806992198786,1.4227554080786164,0.2734743329733716,0.0096076486751709,0.0011436508399431,0.0090529234632782,0.0216771584768782,0.0440374349221501,0.0283192262645715,0.0331706568664572,0.0653225331604763,2.382978723404255,0.0596519875491146,12.06122448979592,0.1604552964934826
AAON,2013,Q3,2013Q3,2013-11-07,2013-09-30,650584192.8487,648295192.8487,4.407186590939518,0.0,0.0646920912226682,7.253698214390679,15.457712242175916,4.017687845666028,0.0,1.889404786867568,0.0,1.619684984573987,97.90582285157262,0.2967554911361356,0.2727272727272728,Building Products & Equipment,Industrials,0.0477972907903224,0.0649786944976224,2.531281170985177,0.1887501393689374,0.1173151967889396,0.3594639659111961,0.4074262508063124,-0.0134669041943829,0.1131103319581146,-0.0069867644683863,-0.0144797371834685,0.2667842951108881,-0.0156097427016229,-0.0155088625703395,-0.0909294251194883,-0.1317765492202326,-0.0169989368814458,-0.0920840931030784,-0.0383003324179794
