Quarters,Year,Quarter,FillingDate,Date,TotalAssets,CommonStockEquity,CurrentAssets,CurrentLiability,TotalLiability,Inventory,RetainedEarnings
2023Q4,2023,Q4,2023-02-28,2023-02-28,1052002596.0,617227839.0,15990780.0,2439380.0,434774757.0,0.0,-19053844.0
2023Q2,2023,Q2,2022-08-31,2022-08-31,1102337933.0,646174029.0,14722939.0,2559821.0,456163904.0,0.0,9337312.0
2022Q4,2022,Q4,2022-02-28,2022-02-28,1203039752.0,742993465.0,15984716.0,2631319.0,460046287.0,0.0,106156367.0
2021Q4,2021,Q4,2021-02-28,2021-02-28,1243859035.0,783202376.0,0.0,0.0,460656659.0,0.0,145863025.0
2021Q2,2021,Q2,2020-08-31,2020-08-31,1256128527.0,791533233.0,0.0,0.0,464595294.0,0.0,154110351.0
2020Q4,2020,Q4,2020-02-29,2020-02-29,1276443139.0,820661730.0,0.0,0.0,455781409.0,0.0,183238848.0
2020Q2,2020,Q2,2019-08-31,2019-08-31,1250579304.0,793769768.0,0.0,0.0,456809536.0,0.0,156286483.0
2019Q4,2019,Q4,2019-02-28,2019-02-28,1175267590.0,720786467.0,0.0,0.0,454481123.0,0.0,83295188.0
2019Q2,2019,Q2,2018-08-31,2018-08-31,1185481861.0,729963372.0,0.0,0.0,455518489.0,0.0,-1180389.0
2018Q4,2018,Q4,2018-02-28,2018-02-28,1194614846.0,728662246.0,0.0,0.0,465952600.0,0.0,-1169337.0
2018Q2,2018,Q2,2017-08-31,2017-08-31,1194040408.0,760181066.0,0.0,0.0,433859342.0,0.0,-104980.0
2017Q4,2017,Q4,2017-02-28,2017-02-28,1170940600.0,732648731.0,0.0,0.0,438291869.0,0.0,700459.0
2017Q2,2017,Q2,2016-08-31,2016-08-31,1240515661.0,803478533.0,0.0,0.0,437037128.0,0.0,1382057.0
2016Q4,2016,Q4,2016-02-29,2016-02-29,1109930984.0,771466289.0,0.0,0.0,338464695.0,0.0,4026162.0
2016Q2,2016,Q2,2015-08-31,2015-08-31,1092868769.0,746093343.0,0.0,0.0,346775426.0,0.0,4849150.0
2015Q4,2015,Q4,2015-02-28,2015-02-28,1100682152.0,760786066.0,0.0,0.0,339896086.0,0.0,5736445.0
2015Q2,2015,Q2,2014-08-31,2014-08-31,1088427633.0,745528506.0,0.0,0.0,342899127.0,0.0,6168877.0
2014Q4,2014,Q4,2014-02-28,2014-02-28,908091983.0,606852304.0,0.0,0.0,301239679.0,0.0,5064929.0
2014Q2,2014,Q2,2013-08-31,2013-08-31,866118681.0,553645345.0,0.0,0.0,312473336.0,0.0,4925652.0
2013Q4,2013,Q4,2013-02-28,2013-02-28,975145317.0,651402351.0,0.0,0.0,323742966.0,0.0,4949136.0
2013Q2,2013,Q2,2012-08-31,2012-08-31,928357228.0,640793267.0,0.0,0.0,287563961.0,0.0,4986927.0
2012Q4,2012,Q4,2012-02-29,2012-02-29,126223002.0,86730873.0,0.0,0.0,39492129.0,0.0,234748.0
2012Q2,2012,Q2,2011-08-31,2011-08-31,121455442.0,82058888.0,0.0,0.0,39396554.0,0.0,150349.0
2011Q4,2011,Q4,2011-02-28,2011-02-28,114884832.0,75492641.0,0.0,0.0,39392191.0,0.0,18686.0
2011Q2,2011,Q2,2010-08-31,2010-08-31,125259360.0,85868345.0,0.0,0.0,39391015.0,0.0,-280321.0
