Quarters,Year,Quarter,FillingDate,Date,TotalAssets,CommonStockEquity,CurrentAssets,CurrentLiability,TotalLiability,Inventory,RetainedEarnings
2022Q4,2022,Q4,2022-12-31,2022-12-31,2530283159.0,2171239720.0,6466106.0,8904443.0,359043439.0,0.0,838988559.0
2022Q2,2022,Q2,2022-06-30,2022-06-30,2464368620.0,2109225637.0,5504712.0,1066813.0,355142983.0,0.0,775374167.0
2021Q4,2021,Q4,2021-12-31,2021-12-31,3148061567.0,2993750358.0,3368598.0,5814203.0,154311209.0,0.0,1350371994.0
2021Q2,2021,Q2,2021-06-30,2021-06-30,2916699577.0,2760356497.0,0.0,0.0,156343080.0,0.0,1261039854.0
2020Q4,2020,Q4,2020-12-31,2020-12-31,2577674936.0,2572912686.0,0.0,0.0,4762250.0,0.0,925396250.0
2020Q2,2020,Q2,2020-06-30,2020-06-30,2275066615.0,2271912720.0,0.0,0.0,3153895.0,0.0,509151538.0
2019Q4,2019,Q4,2019-12-31,2019-12-31,2668601205.0,2660902698.0,0.0,0.0,7698507.0,0.0,858214671.0
2019Q2,2019,Q2,2019-06-30,2019-06-30,2494433539.0,2489224946.0,0.0,0.0,5208593.0,0.0,775868622.0
2018Q4,2018,Q4,2018-12-31,2018-12-31,2202087807.0,2197064780.0,0.0,0.0,5023027.0,0.0,521521970.0
2018Q2,2018,Q2,2018-06-30,2018-06-30,2508630711.0,2501778699.0,0.0,0.0,6852012.0,0.0,2218884.0
