Quarters,Year,Quarter,FillingDate,Date,TotalAssets,CommonStockEquity,CurrentAssets,CurrentLiability,TotalLiability,Inventory,RetainedEarnings
2023Q2,2023,Q2,2023-01-31,2023-01-31,637720496.0,379904434.0,7126208.0,1225748.0,257816062.0,0.0,-49449684.0
2022Q2,2022,Q2,2022-02-28,2022-02-28,735458161.0,438586890.0,7709356.0,4816163.0,296871271.0,0.0,5985544.0
2021Q4,2021,Q4,2021-08-31,2021-08-31,782167699.0,473388813.0,0.0,0.0,308778886.0,0.0,40787467.0
2021Q2,2021,Q2,2021-02-28,2021-02-28,778580795.0,463594646.0,0.0,0.0,314986149.0,0.0,30977859.0
2020Q4,2020,Q4,2020-08-31,2020-08-31,774918349.0,464504469.0,0.0,0.0,310413880.0,0.0,31887682.0
2020Q2,2020,Q2,2020-02-29,2020-02-29,794603005.0,486691700.0,0.0,0.0,307911305.0,0.0,54059429.0
2019Q4,2019,Q4,2019-08-31,2019-08-31,779303544.0,476549024.0,0.0,0.0,302754520.0,0.0,43916753.0
2019Q2,2019,Q2,2019-02-28,2019-02-28,748637566.0,445065803.0,0.0,0.0,303571763.0,0.0,11744559.0
2018Q4,2018,Q4,2018-08-31,2018-08-31,754320450.0,444368801.0,0.0,0.0,309951649.0,0.0,1076098.0
2018Q2,2018,Q2,2018-02-28,2018-02-28,765457031.0,448429222.0,0.0,0.0,317027809.0,0.0,1497147.0
